z,x,y
2762.2,-3155.5,-1.0166
2776.9,-3174.1,-1.0273
2791.5,-3192.5,-1.0379
2806.1,-3210.9,-1.0486
2820.5,-3229.2,-1.0593
2834.8,-3247.4,-1.0701
2849.1,-3265.6,-1.0808
2863.3,-3283.6,-1.0916
2877.3,-3301.6,-1.1024
2891.3,-3319.6,-1.1131
2905.3,-3337.4,-1.124
2919.1,-3355.2,-1.1348
2932.8,-3372.8,-1.1456
2946.5,-3390.5,-1.1565
2960.1,-3408,-1.1674
2973.6,-3425.5,-1.1782
2987,-3442.9,-1.1892
3000.3,-3460.2,-1.2001
3013.6,-3477.5,-1.211
3026.8,-3494.7,-1.2219
3039.9,-3511.8,-1.2329
3052.9,-3528.9,-1.2439
3065.9,-3545.9,-1.2549
3078.8,-3562.8,-1.2659
3091.6,-3579.7,-1.2769
3104.3,-3596.5,-1.2879
3116.9,-3613.2,-1.299
3129.5,-3629.9,-1.31
3142,-3646.5,-1.3211
3154.5,-3663,-1.3322
3166.8,-3679.5,-1.3433
3179.1,-3695.9,-1.3544
3191.3,-3712.3,-1.3656
3203.5,-3728.6,-1.3767
3215.5,-3744.8,-1.3879
3227.6,-3761,-1.3991
3239.5,-3777.1,-1.4103
3251.4,-3793.2,-1.4215
3263.2,-3809.2,-1.4327
3274.9,-3825.1,-1.444
3286.6,-3841,-1.4552
3298.2,-3856.8,-1.4665
3309.7,-3872.6,-1.4778
3321.2,-3888.4,-1.4891
3332.6,-3904,-1.5004
3343.9,-3919.6,-1.5117
3355.2,-3935.2,-1.5231
3366.4,-3950.7,-1.5345
3377.5,-3966.2,-1.5458
3388.6,-3981.6,-1.5572
3399.6,-3996.9,-1.5686
3410.6,-4012.2,-1.58
3421.5,-4027.4,-1.5914
3432.3,-4042.6,-1.6029
3443.1,-4057.8,-1.6143
3453.8,-4072.9,-1.6258
3464.4,-4087.9,-1.6373
3475,-4102.9,-1.6488
3485.6,-4117.9,-1.6603
3496,-4132.8,-1.6718
3506.4,-4147.6,-1.6833
3516.8,-4162.4,-1.6949
3527.1,-4177.2,-1.7064
3537.3,-4191.9,-1.718
3547.5,-4206.6,-1.7296
3557.6,-4221.2,-1.7412
3567.7,-4235.8,-1.7528
3577.7,-4250.3,-1.7644
3587.7,-4264.8,-1.776
3597.5,-4279.2,-1.7877
3607.4,-4293.6,-1.7993
3617.2,-4307.9,-1.811
3626.9,-4322.3,-1.8227
3636.6,-4336.5,-1.8344
3646.2,-4350.7,-1.8461
3655.8,-4364.9,-1.8579
3665.3,-4379,-1.8696
3674.7,-4393.1,-1.8813
3684.1,-4407.2,-1.8931
3693.5,-4421.2,-1.9049
3702.8,-4435.2,-1.9167
3712.1,-4449.1,-1.9285
3721.3,-4463,-1.9403
3730.4,-4476.8,-1.9522
3739.5,-4490.6,-1.964
3748.5,-4504.4,-1.9758
3757.5,-4518.1,-1.9877
3766.5,-4531.8,-1.9996
3775.4,-4545.5,-2.0115
3784.2,-4559.1,-2.0234
3793,-4572.7,-2.0353
3801.7,-4586.2,-2.0473
3810.4,-4599.7,-2.0593
3819.1,-4613.2,-2.0712
3827.7,-4626.6,-2.0832
3836.2,-4640,-2.0952
3844.7,-4653.4,-2.1072
3853.2,-4666.7,-2.1192
3861.6,-4680,-2.1312
3870,-4693.3,-2.1433
3878.3,-4706.5,-2.1554
3886.5,-4719.7,-2.1674
3894.7,-4732.8,-2.1795
3902.9,-4745.9,-2.1916
3911,-4759,-2.2038
3919.1,-4772,-2.2159
3927.2,-4785.1,-2.228
3935.2,-4798,-2.2401
3943.1,-4811,-2.2523
3951,-4823.9,-2.2645
3958.8,-4836.8,-2.2766
3966.7,-4849.6,-2.2888
3974.4,-4862.5,-2.3011
3982.1,-4875.3,-2.3133
3989.8,-4888,-2.3256
3997.5,-4900.7,-2.3378
4005,-4913.4,-2.3501
4012.6,-4926.1,-2.3624
4020.1,-4938.7,-2.3747
4027.6,-4951.3,-2.387
4035,-4963.9,-2.3993
4042.3,-4976.5,-2.4116
4049.7,-4989,-2.424
4057,-5001.5,-2.4363
4064.2,-5013.9,-2.4487
4071.4,-5026.3,-2.4611
4078.6,-5038.7,-2.4736
4085.7,-5051.1,-2.486
4092.8,-5063.5,-2.4985
4099.8,-5075.8,-2.5109
4106.9,-5088.1,-2.5234
4113.8,-5100.3,-2.5358
4120.7,-5112.6,-2.5483
4127.6,-5124.8,-2.5608
4134.5,-5136.9,-2.5733
4141.3,-5149.1,-2.5859
4148,-5161.2,-2.5984
4154.8,-5173.3,-2.611
4161.4,-5185.4,-2.6236
4168.1,-5197.5,-2.6362
4174.7,-5209.5,-2.6488
4181.3,-5221.5,-2.6615
4187.8,-5233.5,-2.6741
4194.3,-5245.4,-2.6867
4200.7,-5257.3,-2.6994
4207.1,-5269.2,-2.7121
4213.5,-5281.1,-2.7248
4219.9,-5293,-2.7375
4226.2,-5304.8,-2.7502
4232.4,-5316.6,-2.7629
4238.6,-5328.4,-2.7757
4244.8,-5340.1,-2.7885
4251,-5351.9,-2.8013
4257.1,-5363.6,-2.8141
4263.2,-5375.3,-2.8269
4269.2,-5386.9,-2.8398
4275.2,-5398.6,-2.8526
4281.2,-5410.2,-2.8655
4287.1,-5421.8,-2.8783
4293,-5433.4,-2.8912
4298.9,-5444.9,-2.9041
4304.7,-5456.4,-2.917
4310.5,-5468,-2.9299
4316.2,-5479.4,-2.9429
4322,-5490.9,-2.9559
4327.6,-5502.3,-2.9689
4333.3,-5513.8,-2.9819
4338.9,-5525.2,-2.9949
4344.5,-5536.5,-3.0079
4350,-5547.9,-3.021
4355.5,-5559.2,-3.034
4361,-5570.6,-3.0471
4366.4,-5581.8,-3.0602
4371.8,-5593.1,-3.0733
4377.2,-5604.4,-3.0864
4382.5,-5615.6,-3.0995
4387.8,-5626.8,-3.1126
4393.1,-5638,-3.1257
4398.3,-5649.2,-3.1389
4403.5,-5660.4,-3.1521
4408.7,-5671.5,-3.1653
4413.8,-5682.6,-3.1785
4418.9,-5693.7,-3.1918
4423.9,-5704.8,-3.205
4429,-5715.8,-3.2183
