t,h,v,e,n
0.28,3.622,39.915,0,3.622
0.29,3.9098,41.476,0,3.9098
0.3,4.2086,43.037,0,4.2086
0.31,4.5184,44.599,0,4.5184
0.32,4.8393,46.162,0,4.8393
0.33,5.1713,47.725,0,5.1713
0.345,5.6894,50.072,7.87E-06,5.6905
0.3675,6.5111,53.594,5.02E-05,6.518
0.40125,7.8442,58.885,1.86E-04,7.8691
0.45125,10.042,66.755,5.47E-04,10.113
0.50125,12.506,74.662,0.001083,12.648
0.55125,15.238,82.608,0.0017471,15.476
0.60125,18.239,90.592,0.0024535,18.596
0.65125,21.512,98.612,0.0030734,22.012
0.70125,25.056,106.67,0.0034284,25.723
0.75125,28.874,114.76,0.0032849,29.732
0.80125,32.965,122.89,0.0023488,34.039
0.85125,37.331,131.05,2.62E-04,38.647
0.90125,41.973,139.24,-0.003402,43.558
0.95125,46.891,147.47,-0.0091334,48.772
1.0013,52.084,155.73,-0.017486,54.293
1.0513,57.554,164.03,-0.029069,60.123
1.1013,63.299,172.38,-0.044531,66.265
1.1513,69.32,180.78,-0.064537,72.723
1.2013,75.616,189.21,-0.089742,79.499
1.2513,82.185,197.68,-0.12076,86.597
1.3013,89.028,206.19,-0.15811,94.022
1.3513,96.143,214.74,-0.20219,101.78
1.4013,103.53,223.33,-0.25325,109.86
1.4513,111.19,231.95,-0.31133,118.28
1.5013,119.11,240.6,-0.37629,127.04
1.5513,127.31,249.28,-0.44781,136.14
1.6013,135.78,258,-0.52544,145.58
1.6513,144.53,266.74,-0.60867,155.35
1.7013,153.55,275.51,-0.69704,165.47
1.7513,162.85,284.3,-0.79025,175.93
1.8013,172.44,293.11,-0.8882,186.72
1.8513,182.3,301.93,-0.99116,197.85
1.9013,192.46,310.76,-1.0997,209.32
1.9513,202.89,319.61,-1.2145,221.13
2.0013,213.61,328.49,-1.3367,233.28
2.0513,224.6,337.38,-1.4668,245.78
2.1013,235.87,346.28,-1.6055,258.63
2.1513,247.42,355.2,-1.7527,271.83
2.2013,259.24,364.14,-1.9079,285.38
2.2513,271.34,373.05,-2.0706,299.28
2.3013,283.72,381.95,-2.2399,313.53
2.3513,296.38,390.82,-2.4158,328.12
2.4012,309.32,399.67,-2.5986,343.06
2.4512,322.53,408.49,-2.7894,358.34
2.5012,336.02,417.29,-2.9891,373.97
2.5512,349.78,426.06,-3.1981,389.94
2.6012,363.81,434.8,-3.4159,406.26
2.6512,378.11,443.51,-3.6416,422.92
2.7012,392.67,452.2,-3.8747,439.93
2.7512,407.51,460.85,-4.1159,457.27
2.8012,422.62,469.48,-4.3662,474.96
2.8512,437.99,478.07,-4.6262,492.98
2.9012,453.62,486.62,-4.8952,511.35
2.9512,469.51,495.12,-5.1725,530.05
3.0012,485.66,503.54,-5.4581,549.08
3.0512,502.07,511.89,-5.7529,568.45
3.1012,518.74,520.16,-6.0574,588.14
3.1512,535.65,528.35,-6.3713,608.17
3.2012,552.82,536.47,-6.6939,628.51
3.2512,570.23,544.51,-7.0251,649.18
3.3012,587.88,552.47,-7.3654,670.16
3.3512,605.78,560.35,-7.7155,691.46
3.4012,623.91,568.16,-8.0751,713.07
3.4512,642.27,575.89,-8.4437,735
3.5012,660.87,583.54,-8.8211,757.22
3.5512,679.7,591.11,-9.2077,779.76
3.6012,698.76,598.6,-9.604,802.59
3.6512,718.04,606.01,-10.01,825.72
3.7012,737.53,613.23,-10.425,849.14
3.7512,757.24,620.07,-10.848,872.85
3.8012,777.15,626.52,-11.281,896.83
3.8512,797.25,632.6,-11.721,921.05
3.9012,817.51,638.29,-12.17,945.52
3.9512,837.94,643.6,-12.626,970.21
4.0012,858.51,648.53,-13.089,995.11
4.0512,879.22,653.08,-13.558,1020.2
4.1012,900.06,657.24,-14.033,1045.5
4.1512,921.01,661.03,-14.514,1070.9
4.2012,942.05,664.47,-15.001,1096.5
4.2512,963.19,667.76,-15.493,1122.2
4.3012,984.42,670.91,-15.99,1148.1
4.3512,1005.7,673.93,-16.491,1174.1
4.4012,1027.1,676.8,-16.996,1200.2
4.4512,1048.6,679.53,-17.506,1226.5
4.5012,1070.1,682.12,-18.02,1252.8
4.5512,1091.7,684.44,-18.537,1279.3
4.6012,1113.4,686.4,-19.058,1305.9
4.6512,1135,688,-19.582,1332.5
4.7012,1156.8,689.26,-20.108,1359.2
4.7512,1178.5,690.16,-20.636,1386
4.8012,1200.3,690.72,-21.166,1412.8
4.8512,1222,690.93,-21.696,1439.6
4.9012,1243.7,690.81,-22.227,1466.5
4.9512,1265.4,690.48,-22.758,1493.3
5.0012,1287.1,689.99,-23.289,1520.2
5.0512,1308.8,689.33,-23.82,1547
5.1012,1330.4,688.5,-24.349,1573.8
5.1512,1351.9,687.51,-24.879,1600.6
5.2012,1373.5,686.36,-25.407,1627.4
5.2512,1394.9,685.03,-25.933,1654.1
5.3012,1416.3,683.55,-26.458,1680.8
5.3512,1437.7,681.91,-26.982,1707.4
5.4012,1459,680.1,-27.503,1734
5.4512,1480.2,678.13,-28.022,1760.5
5.5012,1501.3,676.01,-28.539,1787
5.5512,1522.3,673.77,-29.053,1813.4
5.6012,1543.3,671.41,-29.564,1839.7
5.6512,1564.1,668.95,-30.071,1865.9
5.7012,1584.9,666.38,-30.576,1892
5.7512,1605.6,663.7,-31.078,1918.1
5.8012,1626.1,660.91,-31.575,1944
5.8512,1646.6,658.02,-32.069,1969.8
5.9012,1667,655.02,-32.56,1995.6
5.9512,1687.2,651.91,-33.046,2021.2
6.0012,1707.4,648.7,-33.528,2046.7
6.0512,1727.4,645.39,-34.005,2072.1
6.1012,1747.3,641.97,-34.478,2097.4
6.1512,1767.1,638.45,-34.947,2122.6
6.2012,1786.7,634.78,-35.41,2147.6
6.2512,1806.3,630.96,-35.868,2172.5
6.3012,1825.6,626.97,-36.321,2197.3
6.3512,1844.9,622.87,-36.768,2221.9
6.4012,1864,618.8,-37.21,2246.3
6.4512,1883,614.77,-37.646,2270.7
6.5012,1901.8,610.8,-38.076,2294.8
6.5512,1920.5,606.87,-38.501,2318.8
6.6012,1939.1,602.99,-38.92,2342.7
6.6512,1957.5,599.15,-39.334,2366.5
6.7012,1975.8,595.36,-39.742,2390.1
6.7512,1993.9,591.61,-40.145,2413.5
6.8012,2012,587.91,-40.543,2436.9
6.8512,2029.9,584.25,-40.936,2460.1
6.9012,2047.7,580.63,-41.323,2483.1
6.9512,2065.3,577.05,-41.705,2506
7.0012,2082.8,573.51,-42.083,2528.8
7.0512,2100.2,570.01,-42.455,2551.5
7.1012,2117.5,566.55,-42.822,2574.1
7.1512,2134.7,563.13,-43.185,2596.5
7.2012,2151.7,559.75,-43.542,2618.8
7.2512,2168.7,556.4,-43.895,2641
7.3012,2185.5,553.09,-44.243,2663
7.3512,2202.2,549.82,-44.586,2685
7.4012,2218.8,546.58,-44.925,2706.8
7.4512,2235.2,543.38,-45.258,2728.5
7.5012,2251.6,540.21,-45.588,2750.1
7.5512,2267.8,537.07,-45.912,2771.6
7.6012,2284,533.97,-46.233,2792.9
7.6512,2300,530.9,-46.548,2814.2
7.7012,2315.9,527.86,-46.86,2835.3
7.7512,2331.8,524.86,-47.166,2856.3
7.8012,2347.5,521.89,-47.469,2877.3
7.8512,2363.1,518.95,-47.767,2898.1
7.9012,2378.6,516.04,-48.061,2918.8
7.9512,2394,513.15,-48.351,2939.4
8.0012,2409.3,510.3,-48.636,2959.9
8.0512,2424.5,507.48,-48.918,2980.3
8.1012,2439.6,504.69,-49.195,3000.6
8.1512,2454.6,501.93,-49.468,3020.8
8.2012,2469.5,499.19,-49.737,3040.9
8.2512,2484.3,496.48,-50.002,3060.9
8.3012,2499,493.8,-50.263,3080.8
8.3512,2513.6,491.14,-50.52,3100.7
8.4012,2528.1,488.51,-50.774,3120.4
8.4512,2542.6,485.91,-51.023,3140
8.5012,2556.9,483.33,-51.268,3159.5
8.5512,2571.2,480.78,-51.51,3179
8.6012,2585.3,478.25,-51.748,3198.3
8.6512,2599.4,475.75,-51.982,3217.6
8.7012,2613.3,473.27,-52.212,3236.8
8.7512,2627.2,470.81,-52.439,3255.8
8.8012,2641,468.38,-52.662,3274.8
8.8512,2654.7,465.97,-52.882,3293.8
8.9012,2668.4,463.58,-53.098,3312.6
8.9512,2681.9,461.22,-53.31,3331.3
9.0014,2695.4,459.18,-53.519,3350.1
9.0029,2695.8,458.68,-53.525,3350.6
9.0044,2696.2,458.18,-53.531,3351.1
9.0058,2696.6,457.68,-53.537,3351.7
9.0073,2697,457.18,-53.543,3352.2
9.0087,2697.3,456.68,-53.549,3352.8
9.0102,2697.7,456.18,-53.555,3353.3
9.0117,2698.1,455.68,-53.561,3353.8
9.0132,2698.5,455.18,-53.567,3354.4
9.0146,2698.9,454.68,-53.573,3354.9
9.0161,2699.3,454.18,-53.579,3355.5
9.0176,2699.7,453.68,-53.585,3356
9.0191,2700.1,453.18,-53.59,3356.6
9.0206,2700.5,452.68,-53.596,3357.1
9.0221,2700.9,452.18,-53.602,3357.7
9.0236,2701.3,451.68,-53.608,3358.2
9.0251,2701.7,451.18,-53.614,3358.8
9.0266,2702.1,450.68,-53.62,3359.3
9.0281,2702.5,450.18,-53.625,3359.9
9.0296,2702.9,449.68,-53.631,3360.4
9.0311,2703.3,449.18,-53.637,3361
9.0326,2703.7,448.68,-53.643,3361.5
9.0342,2704.1,448.19,-53.648,3362.1
9.0357,2704.5,447.69,-53.654,3362.6
9.0372,2704.9,447.19,-53.66,3363.2
9.0387,2705.3,446.69,-53.665,3363.7
9.0403,2705.7,446.19,-53.671,3364.3
9.0418,2706.1,445.69,-53.677,3364.8
9.0434,2706.5,445.19,-53.682,3365.4
9.0449,2706.9,444.69,-53.688,3366
9.0465,2707.3,444.19,-53.694,3366.5
9.048,2707.7,443.69,-53.699,3367.1
9.0496,2708.1,443.19,-53.705,3367.6
9.0511,2708.5,442.69,-53.71,3368.2
9.0527,2708.9,442.19,-53.716,3368.8
9.0543,2709.3,441.69,-53.722,3369.3
9.0558,2709.7,441.19,-53.727,3369.9
9.0574,2710.1,440.69,-53.733,3370.4
9.059,2710.5,440.19,-53.738,3371
9.0606,2710.9,439.69,-53.744,3371.6
9.0621,2711.3,439.19,-53.749,3372.1
9.0637,2711.7,438.69,-53.755,3372.7
9.0653,2712.1,438.19,-53.76,3373.3
9.0669,2712.5,437.69,-53.765,3373.8
9.0685,2712.9,437.19,-53.771,3374.4
9.0701,2713.3,436.69,-53.776,3375
9.0717,2713.7,436.19,-53.782,3375.5
9.0733,2714.1,435.69,-53.787,3376.1
9.0749,2714.6,435.19,-53.792,3376.7
9.0766,2715,434.69,-53.798,3377.2
9.0782,2715.4,434.19,-53.803,3377.8
9.0798,2715.8,433.69,-53.808,3378.4
9.0814,2716.2,433.19,-53.814,3379
9.0831,2716.6,432.69,-53.819,3379.5
9.0847,2717,432.19,-53.824,3380.1
9.0863,2717.4,431.69,-53.83,3380.7
9.088,2717.8,431.19,-53.835,3381.3
9.0896,2718.3,430.69,-53.84,3381.8
9.0913,2718.7,430.19,-53.845,3382.4
9.0929,2719.1,429.69,-53.85,3383
9.0946,2719.5,429.19,-53.856,3383.6
9.0963,2719.9,428.69,-53.861,3384.1
9.0979,2720.3,428.19,-53.866,3384.7
9.0996,2720.7,427.69,-53.871,3385.3
9.1013,2721.2,427.19,-53.876,3385.9
9.103,2721.6,426.69,-53.881,3386.5
9.1046,2722,426.19,-53.886,3387
9.1063,2722.4,425.69,-53.891,3387.6
9.108,2722.8,425.19,-53.896,3388.2
9.1097,2723.3,424.69,-53.901,3388.8
9.1114,2723.7,424.19,-53.906,3389.4
9.1131,2724.1,423.69,-53.911,3390
9.1148,2724.5,423.19,-53.916,3390.5
9.1165,2724.9,422.69,-53.921,3391.1
9.1182,2725.4,422.2,-53.926,3391.7
9.12,2725.8,421.7,-53.931,3392.3
9.1217,2726.2,421.2,-53.936,3392.9
9.1234,2726.6,420.7,-53.941,3393.5
9.1251,2727,420.2,-53.946,3394.1
9.1269,2727.5,419.7,-53.951,3394.7
9.1286,2727.9,419.2,-53.956,3395.3
9.1304,2728.3,418.7,-53.961,3395.9
9.1321,2728.7,418.2,-53.965,3396.4
9.1339,2729.2,417.7,-53.97,3397
9.1356,2729.6,417.2,-53.975,3397.6
9.1374,2730,416.7,-53.98,3398.2
9.1391,2730.4,416.2,-53.984,3398.8
9.1409,2730.9,415.7,-53.989,3399.4
9.1427,2731.3,415.2,-53.994,3400
9.1445,2731.7,414.7,-53.998,3400.6
9.1462,2732.2,414.2,-54.003,3401.2
9.148,2732.6,413.7,-54.008,3401.8
9.1498,2733,413.2,-54.012,3402.4
9.1516,2733.5,412.7,-54.017,3403
9.1534,2733.9,412.2,-54.022,3403.6
9.1552,2734.3,411.7,-54.026,3404.2
9.157,2734.7,411.2,-54.031,3404.8
9.1588,2735.2,410.7,-54.035,3405.4
9.1606,2735.6,410.2,-54.04,3406
9.1625,2736,409.7,-54.044,3406.6
9.1643,2736.5,409.2,-54.049,3407.3
9.1661,2736.9,408.7,-54.053,3407.9
9.1679,2737.4,408.2,-54.058,3408.5
9.1698,2737.8,407.7,-54.062,3409.1
9.1716,2738.2,407.2,-54.066,3409.7
9.1735,2738.7,406.7,-54.071,3410.3
9.1753,2739.1,406.2,-54.075,3410.9
9.1772,2739.5,405.7,-54.079,3411.5
9.179,2740,405.2,-54.084,3412.1
9.1809,2740.4,404.7,-54.088,3412.7
9.1828,2740.9,404.2,-54.092,3413.4
9.1847,2741.3,403.7,-54.096,3414
9.1865,2741.7,403.2,-54.101,3414.6
9.1884,2742.2,402.7,-54.105,3415.2
9.1903,2742.6,402.2,-54.109,3415.8
9.1922,2743.1,401.7,-54.113,3416.4
9.1941,2743.5,401.21,-54.117,3417.1
9.196,2743.9,400.71,-54.121,3417.7
9.1979,2744.4,400.21,-54.126,3418.3
9.1998,2744.8,399.71,-54.13,3418.9
9.2017,2745.3,399.21,-54.134,3419.5
9.2037,2745.7,398.71,-54.138,3420.2
9.2056,2746.2,398.21,-54.142,3420.8
9.2075,2746.6,397.71,-54.146,3421.4
9.2095,2747.1,397.21,-54.15,3422
9.2114,2747.5,396.71,-54.154,3422.7
9.2133,2747.9,396.21,-54.157,3423.3
9.2153,2748.4,395.71,-54.161,3423.9
9.2172,2748.8,395.21,-54.165,3424.5
9.2192,2749.3,394.71,-54.169,3425.2
9.2212,2749.7,394.21,-54.173,3425.8
9.2231,2750.2,393.71,-54.177,3426.4
9.2251,2750.6,393.21,-54.18,3427.1
9.2271,2751.1,392.71,-54.184,3427.7
9.2291,2751.6,392.21,-54.188,3428.3
9.2311,2752,391.71,-54.192,3429
9.2331,2752.5,391.21,-54.195,3429.6
9.2351,2752.9,390.71,-54.199,3430.2
9.2371,2753.4,390.21,-54.203,3430.9
9.2391,2753.8,389.71,-54.206,3431.5
9.2411,2754.3,389.21,-54.21,3432.1
9.2431,2754.7,388.71,-54.213,3432.8
9.2452,2755.2,388.21,-54.217,3433.4
9.2472,2755.6,387.71,-54.22,3434.1
9.2492,2756.1,387.21,-54.224,3434.7
9.2513,2756.6,386.71,-54.227,3435.3
9.2533,2757,386.21,-54.231,3436
9.2554,2757.5,385.71,-54.234,3436.6
9.2574,2757.9,385.21,-54.237,3437.3
9.2595,2758.4,384.71,-54.241,3437.9
9.2616,2758.9,384.21,-54.244,3438.6
9.2636,2759.3,383.71,-54.247,3439.2
9.2657,2759.8,383.22,-54.251,3439.9
9.2678,2760.2,382.72,-54.254,3440.5
9.2699,2760.7,382.22,-54.257,3441.2
9.272,2761.2,381.72,-54.26,3441.8
9.2741,2761.6,381.22,-54.263,3442.5
9.2762,2762.1,380.72,-54.267,3443.1
9.2783,2762.6,380.22,-54.27,3443.8
9.2804,2763,379.72,-54.273,3444.4
9.2825,2763.5,379.22,-54.276,3445.1
9.2847,2764,378.72,-54.279,3445.7
9.2868,2764.4,378.22,-54.282,3446.4
9.2889,2764.9,377.72,-54.285,3447.1
9.2911,2765.4,377.22,-54.288,3447.7
9.2932,2765.8,376.72,-54.291,3448.4
9.2954,2766.3,376.22,-54.293,3449
9.2976,2766.8,375.72,-54.296,3449.7
9.2997,2767.2,375.22,-54.299,3450.4
9.3019,2767.7,374.72,-54.302,3451
9.3041,2768.2,374.22,-54.305,3451.7
9.3063,2768.7,373.72,-54.307,3452.3
9.3085,2769.1,373.22,-54.31,3453
9.3107,2769.6,372.72,-54.313,3453.7
9.3129,2770.1,372.22,-54.315,3454.3
9.3151,2770.6,371.72,-54.318,3455
9.3173,2771,371.22,-54.321,3455.7
9.3195,2771.5,370.72,-54.323,3456.4
9.3217,2772,370.22,-54.326,3457
9.324,2772.5,369.72,-54.328,3457.7
9.3262,2772.9,369.22,-54.331,3458.4
9.3284,2773.4,368.72,-54.333,3459
9.3307,2773.9,368.23,-54.335,3459.7
9.333,2774.4,367.73,-54.338,3460.4
9.3352,2774.9,367.23,-54.34,3461.1
9.3375,2775.4,366.73,-54.342,3461.7
9.3398,2775.8,366.23,-54.345,3462.4
9.342,2776.3,365.73,-54.347,3463.1
9.3443,2776.8,365.23,-54.349,3463.8
9.3466,2777.3,364.73,-54.351,3464.5
9.3489,2777.8,364.23,-54.353,3465.1
9.3512,2778.3,363.73,-54.355,3465.8
9.3535,2778.7,363.23,-54.357,3466.5
9.3559,2779.2,362.73,-54.359,3467.2
9.3582,2779.7,362.23,-54.361,3467.9
9.3605,2780.2,361.73,-54.363,3468.6
9.3629,2780.7,361.23,-54.365,3469.3
9.3652,2781.2,360.73,-54.367,3469.9
9.3676,2781.7,360.23,-54.369,3470.6
9.3699,2782.2,359.73,-54.371,3471.3
9.3723,2782.6,359.23,-54.373,3472
9.3746,2783.1,358.73,-54.374,3472.7
9.377,2783.6,358.23,-54.376,3473.4
9.3794,2784.1,357.73,-54.378,3474.1
9.3818,2784.6,357.23,-54.38,3474.8
9.3842,2785.1,356.73,-54.381,3475.5
9.3866,2785.6,356.23,-54.383,3476.2
9.389,2786.1,355.73,-54.384,3476.9
9.3914,2786.6,355.24,-54.386,3477.6
9.3938,2787.1,354.74,-54.387,3478.3
9.3963,2787.6,354.24,-54.389,3479
9.3987,2788.1,353.74,-54.39,3479.7
9.4012,2788.6,353.24,-54.391,3480.4
9.4036,2789.1,352.74,-54.393,3481.1
9.4061,2789.6,352.24,-54.394,3481.8
9.4085,2790.1,351.74,-54.395,3482.5
9.411,2790.6,351.24,-54.396,3483.2
9.4135,2791.1,350.74,-54.398,3483.9
9.416,2791.6,350.24,-54.399,3484.6
9.4185,2792.1,349.74,-54.4,3485.4
9.421,2792.6,349.24,-54.401,3486.1
9.4235,2793.1,348.74,-54.402,3486.8
9.426,2793.6,348.24,-54.403,3487.5
9.4285,2794.1,347.74,-54.404,3488.2
9.431,2794.6,347.24,-54.405,3488.9
9.4336,2795.1,346.74,-54.405,3489.6
9.4361,2795.6,346.24,-54.406,3490.4
9.4387,2796.1,345.74,-54.407,3491.1
9.4412,2796.6,345.24,-54.408,3491.8
9.4438,2797.2,344.74,-54.408,3492.5
9.4463,2797.7,344.24,-54.409,3493.2
9.4489,2798.2,343.75,-54.41,3494
9.4515,2798.7,343.25,-54.41,3494.7
9.4541,2799.2,342.75,-54.411,3495.4
9.4567,2799.7,342.25,-54.411,3496.1
9.4593,2800.2,341.75,-54.412,3496.9
9.4619,2800.7,341.25,-54.412,3497.6
9.4646,2801.3,340.75,-54.412,3498.3
9.4672,2801.8,340.25,-54.413,3499
9.4698,2802.3,339.75,-54.413,3499.8
9.4725,2802.8,339.25,-54.413,3500.5
9.4751,2803.3,338.75,-54.413,3501.2
9.4778,2803.8,338.25,-54.413,3502
9.4805,2804.4,337.75,-54.413,3502.7
9.4831,2804.9,337.25,-54.413,3503.5
9.4858,2805.4,336.75,-54.413,3504.2
9.4885,2805.9,336.25,-54.413,3504.9
9.4912,2806.4,335.75,-54.413,3505.7
9.4939,2807,335.25,-54.413,3506.4
9.4967,2807.5,334.75,-54.413,3507.2
9.4994,2808,334.25,-54.413,3507.9
9.5021,2808.5,333.75,-54.412,3508.6
9.5049,2809.1,333.26,-54.412,3509.4
9.5076,2809.6,332.76,-54.412,3510.1
9.5104,2810.1,332.26,-54.411,3510.9
9.5131,2810.6,331.76,-54.411,3511.6
9.5159,2811.2,331.26,-54.41,3512.4
9.5187,2811.7,330.76,-54.41,3513.1
9.5215,2812.2,330.26,-54.409,3513.9
9.5243,2812.8,329.76,-54.408,3514.6
9.5271,2813.3,329.26,-54.408,3515.4
9.5299,2813.8,328.76,-54.407,3516.2
9.5327,2814.4,328.26,-54.406,3516.9
9.5356,2814.9,327.76,-54.405,3517.7
9.5384,2815.4,327.26,-54.404,3518.4
9.5413,2816,326.76,-54.403,3519.2
9.5441,2816.5,326.26,-54.402,3520
9.547,2817,325.76,-54.401,3520.7
9.5499,2817.6,325.26,-54.4,3521.5
9.5527,2818.1,324.76,-54.399,3522.2
9.5556,2818.7,324.27,-54.397,3523
9.5585,2819.2,323.77,-54.396,3523.8
9.5614,2819.7,323.27,-54.395,3524.5
9.5644,2820.3,322.77,-54.393,3525.3
9.5673,2820.8,322.27,-54.392,3526.1
9.5702,2821.4,321.77,-54.39,3526.9
9.5732,2821.9,321.27,-54.389,3527.6
9.5761,2822.4,320.77,-54.387,3528.4
9.5791,2823,320.27,-54.386,3529.2
9.5821,2823.5,319.77,-54.384,3530
9.5851,2824.1,319.27,-54.382,3530.7
9.5881,2824.6,318.77,-54.38,3531.5
9.5911,2825.2,318.27,-54.378,3532.3
9.5941,2825.7,317.77,-54.376,3533.1
9.5971,2826.3,317.27,-54.374,3533.9
9.6001,2826.8,316.77,-54.372,3534.7
9.6032,2827.4,316.27,-54.37,3535.4
9.6062,2827.9,315.78,-54.368,3536.2
9.6093,2828.5,315.28,-54.366,3537
9.6123,2829,314.78,-54.363,3537.8
9.6154,2829.6,314.28,-54.361,3538.6
9.6185,2830.1,313.78,-54.358,3539.4
9.6216,2830.7,313.28,-54.356,3540.2
9.6247,2831.3,312.78,-54.353,3541
9.6278,2831.8,312.28,-54.351,3541.8
9.6309,2832.4,311.78,-54.348,3542.6
9.6341,2832.9,311.28,-54.345,3543.4
9.6372,2833.5,310.78,-54.343,3544.2
9.6404,2834.1,310.28,-54.34,3545
9.6435,2834.6,309.78,-54.337,3545.8
9.6467,2835.2,309.28,-54.334,3546.6
9.6499,2835.7,308.78,-54.331,3547.4
9.6531,2836.3,308.29,-54.328,3548.2
9.6563,2836.9,307.79,-54.324,3549
9.6595,2837.4,307.29,-54.321,3549.8
9.6627,2838,306.79,-54.318,3550.6
9.666,2838.6,306.29,-54.315,3551.4
9.6692,2839.1,305.79,-54.311,3552.2
9.6725,2839.7,305.29,-54.308,3553.1
9.6758,2840.3,304.79,-54.304,3553.9
9.679,2840.8,304.29,-54.3,3554.7
9.6823,2841.4,303.79,-54.297,3555.5
9.6856,2842,303.29,-54.293,3556.3
9.6889,2842.6,302.79,-54.289,3557.1
9.6923,2843.1,302.29,-54.285,3558
9.6956,2843.7,301.79,-54.281,3558.8
9.6989,2844.3,301.3,-54.277,3559.6
9.7023,2844.9,300.8,-54.273,3560.4
9.7056,2845.4,300.3,-54.269,3561.3
9.709,2846,299.8,-54.265,3562.1
9.7124,2846.6,299.3,-54.26,3562.9
9.7158,2847.2,298.8,-54.256,3563.8
9.7192,2847.7,298.3,-54.251,3564.6
9.7226,2848.3,297.8,-54.247,3565.4
9.7261,2848.9,297.3,-54.242,3566.3
9.7295,2849.5,296.8,-54.237,3567.1
9.733,2850.1,296.3,-54.233,3567.9
9.7364,2850.7,295.8,-54.228,3568.8
9.7399,2851.2,295.31,-54.223,3569.6
9.7434,2851.8,294.81,-54.218,3570.5
9.7469,2852.4,294.31,-54.213,3571.3
9.7504,2853,293.81,-54.208,3572.2
9.7539,2853.6,293.31,-54.202,3573
9.7575,2854.2,292.81,-54.197,3573.8
9.761,2854.8,292.31,-54.192,3574.7
9.7646,2855.4,291.81,-54.186,3575.5
9.7681,2856,291.31,-54.181,3576.4
9.7717,2856.6,290.81,-54.175,3577.3
9.7753,2857.2,290.31,-54.169,3578.1
9.7789,2857.7,289.81,-54.164,3579
9.7825,2858.3,289.32,-54.158,3579.8
9.7862,2858.9,288.82,-54.152,3580.7
9.7898,2859.5,288.32,-54.146,3581.5
9.7935,2860.1,287.82,-54.14,3582.4
9.7971,2860.7,287.32,-54.133,3583.3
9.8008,2861.3,286.82,-54.127,3584.1
9.8045,2861.9,286.32,-54.121,3585
9.8082,2862.5,285.82,-54.114,3585.9
9.8119,2863.1,285.32,-54.108,3586.8
9.8157,2863.7,284.82,-54.101,3587.6
9.8194,2864.4,284.32,-54.094,3588.5
9.8231,2865,283.83,-54.088,3589.4
9.8269,2865.6,283.33,-54.081,3590.2
9.8307,2866.2,282.83,-54.074,3591.1
9.8345,2866.8,282.33,-54.067,3592
9.8383,2867.4,281.83,-54.06,3592.9
9.8421,2868,281.33,-54.052,3593.8
9.846,2868.6,280.83,-54.045,3594.7
9.8498,2869.2,280.33,-54.038,3595.5
9.8537,2869.8,279.83,-54.03,3596.4
9.8575,2870.5,279.33,-54.022,3597.3
9.8614,2871.1,278.84,-54.015,3598.2
9.8653,2871.7,278.34,-54.007,3599.1
9.8692,2872.3,277.84,-53.999,3600
9.8732,2872.9,277.34,-53.991,3600.9
9.8771,2873.5,276.84,-53.983,3601.8
9.8811,2874.2,276.34,-53.975,3602.7
9.885,2874.8,275.84,-53.967,3603.6
9.889,2875.4,275.34,-53.958,3604.5
9.893,2876,274.84,-53.95,3605.4
9.897,2876.6,274.34,-53.941,3606.3
9.9011,2877.3,273.85,-53.933,3607.2
9.9051,2877.9,273.35,-53.924,3608.1
9.9092,2878.5,272.85,-53.915,3609
9.9132,2879.2,272.35,-53.906,3609.9
9.9173,2879.8,271.85,-53.897,3610.8
9.9214,2880.4,271.35,-53.888,3611.8
9.9255,2881,270.85,-53.879,3612.7
9.9297,2881.7,270.35,-53.869,3613.6
9.9338,2882.3,269.86,-53.86,3614.5
9.938,2882.9,269.36,-53.85,3615.4
9.9421,2883.6,268.86,-53.84,3616.4
9.9463,2884.2,268.36,-53.831,3617.3
9.9505,2884.8,267.86,-53.821,3618.2
9.9547,2885.5,267.36,-53.811,3619.1
9.959,2886.1,266.86,-53.801,3620.1
9.9632,2886.8,266.36,-53.79,3621
9.9675,2887.4,265.86,-53.78,3621.9
9.9718,2888,265.37,-53.77,3622.9
9.9761,2888.7,264.87,-53.759,3623.8
9.9804,2889.3,264.37,-53.748,3624.7
9.9847,2890,263.87,-53.738,3625.7
9.989,2890.6,263.37,-53.727,3626.6
9.9934,2891.3,262.87,-53.716,3627.6
9.9978,2891.9,262.37,-53.705,3628.5
10.002,2892.6,261.87,-53.693,3629.5
10.007,2893.2,261.38,-53.682,3630.4
10.011,2893.9,260.88,-53.671,3631.4
10.015,2894.5,260.38,-53.659,3632.3
10.02,2895.2,259.88,-53.647,3633.3
10.024,2895.8,259.38,-53.635,3634.2
10.029,2896.5,258.88,-53.624,3635.2
10.033,2897.1,258.38,-53.611,3636.1
10.038,2897.8,257.89,-53.599,3637.1
10.042,2898.4,257.39,-53.587,3638.1
10.047,2899.1,256.89,-53.574,3639
10.052,2899.8,256.39,-53.562,3640
10.056,2900.4,255.89,-53.549,3641
10.061,2901.1,255.39,-53.536,3641.9
10.065,2901.7,254.89,-53.523,3642.9
10.07,2902.4,254.4,-53.51,3643.9
10.075,2903.1,253.9,-53.497,3644.9
10.079,2903.7,253.4,-53.484,3645.8
10.084,2904.4,252.9,-53.47,3646.8
10.089,2905.1,252.4,-53.457,3647.8
10.094,2905.7,251.9,-53.443,3648.8
10.098,2906.4,251.4,-53.429,3649.8
10.103,2907.1,250.91,-53.415,3650.8
