# PML Intruder 38mm J530-15 SW (Up to date)
# 1153 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.0001901,0.0382247,-0.0000169,-0.0000106,47.182778,17.988611
0.02,0.0066936,1.3462885,0.0005966,0.0003728,47.182778,17.988611
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.0336014,4.0656814,0.002995,0.0018715,47.182778,17.988611
0.04,0.0880205,6.8788629,0.0078456,0.0049025,47.182778,17.9886111
0.05,0.1708843,9.7859422,0.0152315,0.0095177,47.1827781,17.9886112
0.06,0.2831271,12.7870112,0.0252361,0.0157693,47.1827781,17.9886113
0.07,0.4254865,15.8424873,0.0379251,0.0236982,47.1827782,17.9886115
0.08,0.5983063,18.9126327,0.0533291,0.0333237,47.1827783,17.9886117
0.09,0.801732,21.997367,0.0714611,0.0446539,47.1827784,17.9886119
0.1,1.0359083,25.0966265,0.0923341,0.0576967,47.1827785,17.9886122
0.11,1.3009144,28.1972553,0.115955,0.0724567,47.1827787,17.9886125
0.12,1.5966981,31.2860444,0.1423192,0.0889309,47.1827788,17.9886129
0.13,1.9231413,34.362904,0.1714162,0.1071127,47.182779,17.9886133
0.14,2.2801248,37.4277443,0.2032354,0.1269956,47.1827791,17.9886137
0.15,2.6675285,40.4804572,0.237766,0.1485727,47.1827793,17.9886141
0.16,3.0852311,43.5208359,0.2749973,0.1718374,47.1827795,17.9886146
0.17,3.5331087,46.5486983,0.3149182,0.1967827,47.1827798,17.9886152
0.18,4.0110361,49.5638978,0.3575175,0.2234017,47.18278,17.9886157
0.19,4.5188868,52.5662854,0.402784,0.2516874,47.1827803,17.9886163
0.2,5.0565326,55.555711,0.4507062,0.2816325,47.1827805,17.988617
0.21,5.623866,58.5364644,0.5012746,0.3132311,47.1827808,17.9886176
# Event LAUNCHROD occurred at t=0.22 seconds
0.22,6.2208222,61.5128528,0.5544833,0.3464796,47.1827811,17.9886183
0.2344328,7.1344122,65.8013791,0.6367832,0.3981988,47.1827816,17.9886194
0.246954,7.9766103,69.5141927,0.714036,0.4472091,47.182782,17.9886204
0.2582129,8.7731773,72.8469051,0.7881351,0.4945581,47.1827824,17.9886214
0.2686136,9.5420312,75.9206918,0.8604421,0.5410161,47.1827829,17.9886224
0.2784287,10.2966234,78.8169677,0.9320089,0.5871887,47.1827833,17.9886233
0.2878431,11.0468581,81.5907964,1.0036153,0.6335264,47.1827837,17.9886243
0.297013,11.8024905,84.2885104,1.0760619,0.6805032,47.1827841,17.9886252
0.3060725,12.5731085,86.9495828,1.1501499,0.7285988,47.1827846,17.9886262
0.3151409,13.3684319,89.608892,1.2266972,0.7783032,47.182785,17.9886272
0.3243574,14.2012918,92.3069373,1.3068074,0.8302868,47.1827855,17.9886283
0.3339324,15.0927142,95.1045018,1.3923329,0.8856904,47.182786,17.9886294
0.3441859,16.0768604,98.0937356,1.4862953,0.9463782,47.1827865,17.9886307
0.3557415,17.2225677,101.4536237,1.594802,1.0161239,47.1827871,17.9886321
0.3704557,18.7374735,105.7165113,1.7362985,1.1063315,47.1827879,17.988634
0.3925269,21.1272476,112.0737897,1.9534568,1.2424997,47.1827892,17.9886368
0.4222862,24.5715277,120.5639035,2.2498789,1.4220261,47.1827908,17.9886408
0.4302615,25.5377124,122.8213429,2.3290235,1.4683436,47.1827912,17.9886418
0.4370851,26.3787862,124.7479988,2.3963996,1.5071303,47.1827916,17.9886427
0.4432196,27.1462473,126.4758698,2.4566256,1.5412579,47.1827919,17.9886435
0.4488823,27.8641608,128.0673856,2.5118729,1.5720824,47.1827921,17.9886442
0.4541969,28.546216,129.558224,2.5633836,1.6003811,47.1827924,17.9886449
0.4592614,29.2036253,130.9765379,2.6121357,1.626752,47.1827926,17.9886456
0.4641418,29.8440036,132.3412433,2.6587858,1.6515926,47.1827929,17.9886462
0.4688731,30.4712311,133.6624453,2.7036852,1.6751229,47.1827931,17.9886468
0.4734855,31.0887673,134.9488652,2.7471367,1.6975279,47.1827933,17.9886473
0.4780108,31.7004678,136.2096217,2.7894539,1.71899,47.1827935,17.9886479
0.4824676,32.3085384,137.4500823,2.830822,1.7396195,47.1827936,17.9886485
