z,x,y
2766.6,3686.9,1.2786
2777.9,3704.3,1.2898
2789.1,3721.6,1.301
2800.3,3738.7,1.3122
2811.4,3755.9,1.3235
2822.5,3772.9,1.3347
2833.4,3789.9,1.346
2844.3,3806.8,1.3572
2855.2,3823.6,1.3685
2866,3840.4,1.3798
2876.7,3857.1,1.3911
2887.3,3873.8,1.4024
2897.9,3890.3,1.4138
2908.4,3906.8,1.4251
2918.8,3923.3,1.4365
2929.2,3939.6,1.4479
2939.5,3956,1.4593
2949.7,3972.2,1.4707
2959.9,3988.4,1.4821
2970,4004.5,1.4935
2980.1,4020.5,1.5049
2990.1,4036.5,1.5164
3e3,4052.5,1.5278
3009.9,4068.3,1.5393
3019.7,4084.2,1.5508
3029.4,4099.9,1.5623
3039.1,4115.6,1.5738
3048.7,4131.2,1.5853
3058.3,4146.8,1.5969
3067.8,4162.3,1.6084
3077.3,4177.8,1.62
3086.7,4193.2,1.6315
3096,4208.5,1.6431
3105.3,4223.8,1.6547
3114.5,4239.1,1.6663
3123.7,4254.3,1.6779
3132.8,4269.4,1.6896
3141.8,4284.5,1.7012
3150.8,4299.5,1.7129
3159.8,4314.5,1.7246
3168.6,4329.4,1.7363
3177.5,4344.2,1.748
3186.3,4359,1.7597
3195,4373.8,1.7714
3203.6,4388.5,1.7831
3212.3,4403.2,1.7949
3220.8,4417.8,1.8067
3229.3,4432.3,1.8185
3237.8,4446.8,1.8302
3246.2,4461.3,1.842
3254.5,4475.7,1.8538
3262.8,4490.1,1.8657
3271.1,4504.4,1.8775
3279.3,4518.7,1.8894
3287.4,4532.9,1.9012
3295.5,4547,1.9131
3303.6,4561.2,1.925
3311.6,4575.3,1.9369
3319.5,4589.3,1.9488
3327.4,4603.3,1.9607
3335.3,4617.2,1.9726
3343.1,4631.1,1.9846
3350.8,4645,1.9965
3358.5,4658.8,2.0085
3366.2,4672.6,2.0205
3373.8,4686.3,2.0325
3381.3,4700,2.0445
3388.9,4713.6,2.0565
3396.3,4727.2,2.0686
3403.7,4740.8,2.0806
3411.1,4754.3,2.0926
3418.4,4767.8,2.1047
3425.7,4781.2,2.1168
3433,4794.6,2.1289
3440.1,4807.9,2.141
3447.3,4821.3,2.1531
3454.4,4834.5,2.1652
3461.4,4847.8,2.1774
3468.5,4861,2.1895
3475.4,4874.1,2.2017
3482.3,4887.3,2.2138
3489.2,4900.3,2.226
3496.1,4913.4,2.2382
3502.8,4926.4,2.2504
3509.6,4939.4,2.2627
3516.3,4952.3,2.2749
3523,4965.2,2.2871
3529.6,4978,2.2994
3536.2,4990.9,2.3117
3542.7,5003.7,2.324
3549.2,5016.4,2.3363
3555.6,5029.1,2.3486
3562,5041.8,2.3609
3568.4,5054.5,2.3733
3574.7,5067.1,2.3856
3581,5079.6,2.3979
3587.3,5092.2,2.4103
3593.5,5104.7,2.4227
3599.6,5117.2,2.4351
3605.7,5129.6,2.4475
3611.8,5142,2.4599
3617.9,5154.4,2.4723
3623.9,5166.8,2.4848
3629.8,5179.1,2.4972
3635.8,5191.4,2.5097
3641.6,5203.6,2.5222
3647.5,5215.8,2.5347
