z,x,y
2958.9,-0.76033,3407.1
2972.4,-0.76676,3424.6
2985.8,-0.77318,3442
2999.1,-0.77961,3459.3
3012.4,-0.78602,3476.6
3025.6,-0.79244,3493.7
3038.7,-0.79885,3510.9
3051.7,-0.80527,3527.9
3064.6,-0.81168,3544.9
3077.5,-0.81809,3561.8
3090.3,-0.8245,3578.7
3103,-0.83091,3595.4
3115.6,-0.83731,3612.2
3128.2,-0.84371,3628.8
3140.7,-0.85011,3645.4
3153.1,-0.8565,3662
3165.4,-0.8629,3678.4
3177.7,-0.86929,3694.8
3189.9,-0.87567,3711.2
3202,-0.88205,3727.5
3214.1,-0.88843,3743.7
3226.1,-0.89481,3759.9
3238,-0.90119,3776
3249.9,-0.90757,3792
3261.7,-0.91393,3808
3273.4,-0.92028,3824
3285,-0.92663,3839.9
3296.6,-0.93297,3855.7
3308.2,-0.93932,3871.4
3319.6,-0.94566,3887.2
3331,-0.952,3902.8
3342.3,-0.95833,3918.4
3353.6,-0.96465,3934
3364.8,-0.97096,3949.5
3375.9,-0.97726,3964.9
3387,-0.98357,3980.3
3398,-0.98988,3995.6
3408.9,-0.99618,4010.9
3419.8,-1.0025,4026.2
3430.6,-1.0088,4041.4
3441.4,-1.0151,4056.5
3452.1,-1.0213,4071.6
3462.7,-1.0276,4086.6
3473.3,-1.0338,4101.6
3483.8,-1.0401,4116.5
3494.3,-1.0464,4131.4
3504.6,-1.0526,4146.3
3515,-1.0589,4161.1
3525.3,-1.0651,4175.8
3535.5,-1.0713,4190.5
3545.7,-1.0776,4205.2
3555.8,-1.0838,4219.8
3565.8,-1.09,4234.3
3575.8,-1.0962,4248.9
3585.7,-1.1024,4263.3
3595.6,-1.1086,4277.8
3605.5,-1.1148,4292.1
3615.2,-1.121,4306.5
3624.9,-1.1272,4320.8
3634.6,-1.1333,4335
3644.2,-1.1395,4349.2
3653.8,-1.1456,4363.4
3663.3,-1.1518,4377.5
3672.7,-1.1579,4391.6
3682.1,-1.1641,4405.6
3691.4,-1.1702,4419.6
3700.7,-1.1763,4433.6
3710,-1.1824,4447.5
3719.1,-1.1885,4461.4
3728.3,-1.1946,4475.2
3737.4,-1.2007,4489
3746.4,-1.2068,4502.8
3755.4,-1.2128,4516.5
3764.3,-1.2189,4530.2
3773.2,-1.225,4543.9
3782,-1.231,4557.5
3790.8,-1.2371,4571
3799.5,-1.2431,4584.6
3808.2,-1.2491,4598.1
3816.8,-1.2551,4611.5
3825.4,-1.2611,4624.9
3833.9,-1.2671,4638.3
3842.4,-1.2731,4651.7
3850.9,-1.2791,4665
3859.2,-1.285,4678.3
3867.6,-1.291,4691.5
3875.9,-1.2969,4704.7
3884.1,-1.3029,4717.9
3892.3,-1.3088,4731
3900.5,-1.3147,4744.1
3908.6,-1.3206,4757.2
3916.7,-1.3265,4770.2
3924.7,-1.3324,4783.2
3932.7,-1.3383,4796.2
3940.6,-1.3442,4809.2
3948.5,-1.3501,4822.1
3956.3,-1.3559,4834.9
3964.1,-1.3618,4847.8
3971.9,-1.3676,4860.6
3979.6,-1.3735,4873.4
3987.2,-1.3793,4886.1
3994.8,-1.3851,4898.8
4002.4,-1.3908,4911.5
4010,-1.3966,4924.2
4017.4,-1.4024,4936.8
4024.9,-1.4082,4949.4
4032.3,-1.4139,4961.9
4039.6,-1.4197,4974.5
4047,-1.4254,4987
4054.2,-1.4312,4999.5
4061.5,-1.4369,5011.9
4068.7,-1.4426,5024.3
4075.8,-1.4483,5036.7
4082.9,-1.454,5049.1
4090,-1.4596,5061.4
4097,-1.4653,5073.7
4104,-1.4709,5086
4111,-1.4765,5098.3
4117.9,-1.4822,5110.5
4124.7,-1.4878,5122.7
4131.6,-1.4934,5134.9
4138.3,-1.499,5147
4145.1,-1.5046,5159.1
4151.8,-1.5102,5171.2
4158.5,-1.5157,5183.3
4165.1,-1.5212,5195.3
4171.7,-1.5268,5207.3
4178.2,-1.5323,5219.3
4184.8,-1.5377,5231.3
4191.2,-1.5432,5243.2
4197.7,-1.5487,5255.2
4204.1,-1.5542,5267
4210.4,-1.5596,5278.9
4216.7,-1.5651,5290.8
4223,-1.5705,5302.6
4229.3,-1.576,5314.4
4235.5,-1.5814,5326.1
4241.7,-1.5868,5337.9
4247.8,-1.5921,5349.6
4253.9,-1.5975,5361.3
4260,-1.6028,5373
4266,-1.6081,5384.6
4272,-1.6134,5396.3
4277.9,-1.6188,5407.9
4283.8,-1.6241,5419.5
4289.7,-1.6293,5431
4295.6,-1.6346,5442.6
4301.4,-1.6399,5454.1
4307.1,-1.6452,5465.6
4312.9,-1.6504,5477.1
4318.6,-1.6556,5488.5
4324.2,-1.6608,5500
4329.9,-1.666,5511.4
4335.5,-1.6712,5522.8
4341,-1.6763,5534.1
4346.5,-1.6814,5545.5
4352,-1.6866,5556.8
4357.5,-1.6917,5568.1
4362.9,-1.6968,5579.4
4368.3,-1.7019,5590.7
4373.6,-1.7069,5601.9
4378.9,-1.712,5613.1
4384.2,-1.7171,5624.3
4389.5,-1.7221,5635.5
4394.7,-1.7272,5646.7
4399.9,-1.7322,5657.8
4405,-1.7372,5669
4410.1,-1.7421,5680.1
4415.2,-1.7471,5691.2
4420.2,-1.752,5702.2
4425.2,-1.7569,5713.3
4430.2,-1.7618,5724.3
4435.2,-1.7667,5735.3
4440.1,-1.7715,5746.3
4444.9,-1.7764,5757.3
4449.8,-1.7812,5768.2
4454.6,-1.7861,5779.2
4459.4,-1.7909,5790.1
4464.1,-1.7957,5801
4468.8,-1.8005,5811.9
4473.5,-1.8053,5822.7
4478.2,-1.8101,5833.6
4482.8,-1.8148,5844.4
4487.4,-1.8195,5855.2
4491.9,-1.8242,5866
4496.4,-1.8289,5876.8
4500.9,-1.8336,5887.5
4505.4,-1.8382,5898.3
4509.8,-1.8428,5909
4514.2,-1.8474,5919.7
4518.5,-1.852,5930.4
4522.9,-1.8566,5941
4527.2,-1.8611,5951.7
4531.4,-1.8657,5962.3
4535.7,-1.8702,5973
4539.9,-1.8747,5983.6
4544,-1.8792,5994.1
4548.2,-1.8837,6004.7
4552.3,-1.8882,6015.3
4556.4,-1.8926,6025.8
4560.4,-1.8971,6036.3
4564.4,-1.9015,6046.8
4568.4,-1.9059,6057.3
4572.3,-1.9102,6067.8
4576.3,-1.9146,6078.2
4580.2,-1.9189,6088.7
4584,-1.9232,6099.1
4587.9,-1.9275,6109.5
4591.7,-1.9318,6119.9
