z,x,y
0,0,0
4.0647e-4,0,4.2721e-5
0.003408,0,3.5819e-4
0.012571,0,0.0013212
0.031463,0,0.0033069
0.063122,0,0.0066343
0.1093,0,0.011487
0.17053,0,0.017924
0.24693,0,0.025953
0.33855,0,0.035583
0.44547,0,0.046821
0.56775,0,0.059673
0.70539,0,0.07414
0.85837,0,0.090219
1.0267,0,0.10791
1.2102,0,0.1272
1.4091,0,0.1481
1.6232,0,0.1706
1.8524,0,0.1947
2.0969,0,0.22039
2.3565,0,0.24768
2.6313,0,0.27656
2.9213,0,0.30704
3.2265,0,0.33911
3.5468,0,0.37278
3.8823,0,0.40805
4.233,0,0.44491
4.599,0,0.48337
4.9801,0,0.52343
5.3765,0,0.56509
5.7881,0,0.60835
6.2149,0,0.65321
6.657,0,0.69968
7.1143,0,0.74774
7.8289,1.409e-4,0.82296
8.965,8.9296e-4,0.94299
10.814,0.0032977,1.1392
13.874,0.0099046,1.4658
17.319,0.020525,1.8352
21.15,0.035591,2.2478
25.369,0.055483,2.7036
29.977,0.08047,3.2027
34.978,0.11063,3.7455
40.372,0.14579,4.332
46.162,0.18542,4.9624
52.348,0.22855,5.6369
58.933,0.27372,6.3557
65.919,0.31883,7.1191
73.307,0.36118,7.9274
81.099,0.39734,8.781
89.297,0.42324,9.6802
97.902,0.43424,10.626
106.92,0.4253,11.618
116.35,0.39119,12.658
126.19,0.32673,13.746
136.44,0.22716,14.883
147.11,0.088599,16.069
158.2,-0.09154,17.306
169.71,-0.31421,18.594
181.64,-0.57844,19.933
193.99,-0.88133,21.324
206.77,-1.2182,22.766
219.97,-1.5833,24.261
233.6,-1.9705,25.807
247.67,-2.3739,27.405
262.16,-2.7898,29.053
277.08,-3.2169,30.753
292.44,-3.6573,32.503
308.23,-4.1162,34.304
324.45,-4.6005,36.157
341.1,-5.1174,38.063
357.61,-5.6527,39.954
372.34,-6.1498,41.645
390.12,-6.7702,43.69
408.43,-7.4242,45.799
427.17,-8.1006,47.961
442.45,-8.6521,49.725
456.06,-9.1431,51.297
473.24,-9.7643,53.284
493.44,-10.503,55.621
513.48,-11.253,57.943
526.22,-11.74,59.421
541.24,-12.323,61.165
562.84,-13.171,63.676
582.46,-13.945,65.959
595.16,-14.446,67.438
611.46,-15.089,69.337
634.42,-16.003,72.014
649.76,-16.623,73.804
663.57,-17.188,75.418
684.56,-18.056,77.872
708.82,-19.062,80.711
724.01,-19.693,82.489
747.07,-20.653,85.192
772.38,-21.719,88.159
790.78,-22.502,90.319
816.77,-23.619,93.373
843.16,-24.758,96.477
867.01,-25.788,99.284
894.14,-26.967,102.48
921.66,-28.174,105.72
949.56,-29.41,109.02
977.84,-30.669,112.36
1006.5,-31.947,115.75
1035.5,-33.247,119.18
1064.9,-34.573,122.66
1094.7,-35.925,126.19
1124.8,-37.3,129.76
1155.2,-38.694,133.37
1186,-40.105,137.03
1217,-41.537,140.72
1248.4,-42.989,144.45
1279.9,-44.459,148.21
1311.8,-45.944,152
1343.8,-47.441,155.82
1376,-48.952,159.67
1408.5,-50.477,163.54
1441.1,-52.016,167.44
1473.8,-53.565,171.35
1506.7,-55.124,175.29
1539.8,-56.693,179.26
1573,-58.273,183.24
1606.3,-59.865,187.24
1639.8,-61.466,191.26
1673.4,-63.074,195.29
1707.1,-64.688,199.34
1740.8,-66.31,203.4
1774.7,-67.938,207.48
1808.5,-69.571,211.56
1842.4,-71.206,215.64
1876.3,-72.842,219.73
1910.2,-74.481,223.83
1944.1,-76.121,227.92
1977.9,-77.762,232.02
2011.8,-79.402,236.11
2045.6,-81.042,240.21
2079.3,-82.68,244.3
2113,-84.317,248.39
2146.7,-85.953,252.47
2180.2,-87.585,256.55
2213.7,-89.215,260.62
2247.2,-90.841,264.68
2280.5,-92.463,268.74
2313.7,-94.081,272.78
2346.8,-95.694,276.82
2379.8,-97.302,280.85
2412.7,-98.905,284.86
2445.5,-100.5,288.87
2478.1,-102.09,292.86
2510.6,-103.68,296.84
2543,-105.26,300.8
2575.2,-106.83,304.75
2607.3,-108.39,308.69
2639.2,-109.94,312.6
2671,-111.49,316.51
2702.6,-113.03,320.39
2734.1,-114.56,324.26
2765.3,-116.08,328.11
2796.4,-117.59,331.94
2827.3,-119.1,335.75
2858,-120.59,339.54
2888.5,-122.07,343.31
2918.8,-123.54,347.05
2949,-125,350.78
2978.9,-126.45,354.49
3008.7,-127.89,358.17
3038.2,-129.32,361.84
3067.6,-130.74,365.49
3096.9,-132.16,369.12
3125.9,-133.56,372.73
3154.8,-134.95,376.32
3183.5,-136.34,379.9
3212,-137.72,383.45
3240.4,-139.08,386.99
3268.6,-140.44,390.51
3296.6,-141.79,394.01
3324.5,-143.13,397.5
3352.2,-144.47,400.97
3379.7,-145.79,404.42
3407.1,-147.11,407.86
3434.4,-148.42,411.27
3461.5,-149.72,414.68
3488.4,-151.01,418.06
3515.2,-152.29,421.43
3541.8,-153.57,424.79
3568.3,-154.84,428.13
3594.6,-156.1,431.45
3620.8,-157.36,434.76
3646.9,-158.6,438.06
3672.8,-159.84,441.34
3698.6,-161.08,444.6
3724.2,-162.3,447.85
3749.7,-163.52,451.09
3775.1,-164.73,454.31
3800.3,-165.93,457.52
3825.4,-167.13,460.71
3850.4,-168.32,463.89
3875.2,-169.51,467.06
3899.9,-170.68,470.22
3924.5,-171.85,473.36
3948.9,-173.02,476.48
3973.3,-174.18,479.6
3997.5,-175.33,482.7
4021.5,-176.47,485.79
4045.5,-177.61,488.86
4069.3,-178.75,491.93
4093,-179.87,494.98
4116.6,-180.99,498.02
4140.1,-182.11,501.05
4163.5,-183.22,504.06
4186.7,-184.32,507.07
4209.8,-185.42,510.06
4232.9,-186.51,513.04
4255.8,-187.6,516.01
4278.6,-188.68,518.96
4301.2,-189.75,521.91
4323.8,-190.82,524.85
4346.3,-191.88,527.77
4368.6,-192.94,530.68
4390.9,-194,533.59
4413,-195.04,536.48
4435,-196.09,539.36
4457,-197.12,542.23
4478.8,-198.16,545.09
4500.5,-199.18,547.94
4522.1,-200.21,550.78
4543.7,-201.22,553.61
4565.1,-202.24,556.43
4586.4,-203.24,559.24
4607.6,-204.25,562.04
4628.8,-205.25,564.83
4649.8,-206.24,567.62
4670.7,-207.23,570.39
4691.6,-208.21,573.15
4712.3,-209.19,575.9
4733,-210.17,578.65
4753.5,-211.14,581.38
4774,-212.1,584.11
4794.4,-213.07,586.83
4814.6,-214.02,589.53
4834.8,-214.98,592.23
4854.9,-215.92,594.92
4875,-216.87,597.61
4894.9,-217.81,600.28
4914.7,-218.74,602.94
4934.5,-219.68,605.6
4954.1,-220.6,608.25
4973.7,-221.53,610.89
4993.2,-222.45,613.52
5012.6,-223.36,616.14
5032,-224.27,618.76
5051.2,-225.18,621.37
5070.4,-226.09,623.97
5089.4,-226.99,626.56
5108.4,-227.88,629.14
5127.3,-228.77,631.72
5146.2,-229.66,634.29
5164.9,-230.55,636.85
5183.6,-231.43,639.41
5202.2,-232.31,641.95
5220.7,-233.18,644.49
5239.2,-234.05,647.02
5257.6,-234.92,649.55
5275.8,-235.78,652.06
5294.1,-236.64,654.58
5312.2,-237.5,657.08
5330.3,-238.35,659.57
5348.2,-239.2,662.06
5366.2,-240.04,664.55
5384,-240.89,667.02
5401.8,-241.73,669.49
5419.5,-242.56,671.95
5437.1,-243.39,674.41
5454.6,-244.22,676.86
5472.1,-245.05,679.3
5489.5,-245.87,681.74
5506.9,-246.69,684.17
5524.1,-247.51,686.59
5541.3,-248.32,689.01
5558.5,-249.13,691.42
5575.5,-249.94,693.82
5592.5,-250.75,696.22
5609.4,-251.55,698.61
5626.3,-252.35,701
5643.1,-253.14,703.38
5659.8,-253.93,705.75
5676.5,-254.72,708.12
5693.1,-255.51,710.48
5709.6,-256.29,712.84
5726.1,-257.07,715.19
5742.5,-257.85,717.53
5758.8,-258.63,719.87
5775.1,-259.4,722.2
5791.3,-260.17,724.53
5807.4,-260.94,726.85
5823.5,-261.7,729.17
5839.5,-262.46,731.48
5855.5,-263.22,733.79
5871.4,-263.98,736.09
5887.2,-264.73,738.38
5903,-265.48,740.67
5918.7,-266.23,742.96
5934.3,-266.98,745.24
5949.9,-267.72,747.51
5965.5,-268.46,749.78
5980.9,-269.2,752.04
5996.3,-269.93,754.3
6011.7,-270.67,756.55
6027,-271.4,758.8
6042.2,-272.13,761.05
6057.4,-272.85,763.29
6072.5,-273.58,765.52
6087.6,-274.3,767.75
6102.6,-275.02,769.97
6117.6,-275.73,772.19
6132.5,-276.45,774.41
6147.3,-277.16,776.62
6162.1,-277.87,778.82
6176.8,-278.58,781.03
6191.5,-279.28,783.22
6206.1,-279.98,785.41
6220.7,-280.69,787.6
6235.2,-281.38,789.79
6249.7,-282.08,791.96
6264.1,-282.77,794.14
6278.4,-283.47,796.31
6292.7,-284.16,798.47
6307,-284.84,800.64
6321.2,-285.53,802.79
6335.3,-286.21,804.95
6349.4,-286.9,807.1
6363.4,-287.58,809.24
6377.4,-288.25,811.38
6391.4,-288.93,813.52
6405.3,-289.6,815.65
6419.1,-290.27,817.78
6432.9,-290.94,819.9
6446.6,-291.61,822.02
6460.3,-292.28,824.14
6473.9,-292.94,826.25
