z,x,y
2613.9,-0.56763,3455.3
2626.2,-0.5723,3473.6
2638.5,-0.57697,3491.9
2650.6,-0.58163,3510.1
2662.7,-0.58628,3528.2
2674.7,-0.59093,3546.3
2686.6,-0.59558,3564.2
2698.5,-0.60022,3582.1
2710.3,-0.60485,3599.9
2722,-0.60948,3617.6
2733.6,-0.61409,3635.3
2745.2,-0.6187,3652.8
2756.6,-0.62331,3670.3
2768,-0.62791,3687.8
2779.4,-0.6325,3705.1
2790.7,-0.63708,3722.4
2801.8,-0.64165,3739.6
2813,-0.64622,3756.7
2824,-0.65079,3773.8
2835,-0.65535,3790.8
2845.9,-0.65989,3807.7
2856.8,-0.66442,3824.5
2867.6,-0.66894,3841.3
2878.3,-0.67346,3858
2888.9,-0.67798,3874.7
2899.5,-0.68249,3891.2
2910,-0.68699,3907.8
2920.5,-0.69147,3924.2
2930.9,-0.69594,3940.6
2941.2,-0.7004,3956.9
2951.5,-0.70487,3973.1
2961.6,-0.70933,3989.3
2971.8,-0.71379,4005.5
2981.8,-0.71824,4021.5
2991.9,-0.72267,4037.5
3001.8,-0.72708,4053.5
3011.7,-0.73149,4069.3
3021.5,-0.7359,4085.2
3031.3,-0.74031,4100.9
3041,-0.74471,4116.6
3050.6,-0.74911,4132.3
3060.2,-0.7535,4147.9
3069.7,-0.75788,4163.4
3079.2,-0.76224,4178.9
3088.6,-0.76659,4194.3
3098,-0.77094,4209.6
3107.3,-0.77528,4224.9
3116.5,-0.77961,4240.2
3125.7,-0.78392,4255.4
3134.8,-0.78823,4270.5
3143.9,-0.79252,4285.6
3152.9,-0.7968,4300.6
3161.8,-0.80107,4315.6
3170.7,-0.80533,4330.5
3179.6,-0.80959,4345.4
3188.4,-0.81385,4360.2
3197.1,-0.81809,4375
3205.8,-0.82232,4389.7
3214.4,-0.82654,4404.3
3223,-0.83074,4419
3231.5,-0.83492,4433.5
3240,-0.8391,4448
3248.4,-0.84328,4462.5
3256.8,-0.84745,4476.9
3265.1,-0.85161,4491.3
3273.4,-0.85577,4505.6
3281.6,-0.85991,4519.9
3289.7,-0.86405,4534.1
3297.9,-0.86817,4548.3
3305.9,-0.87228,4562.4
3313.9,-0.87638,4576.5
3321.9,-0.88047,4590.6
3329.8,-0.88455,4604.6
3337.7,-0.88862,4618.5
3345.5,-0.89268,4632.4
3353.3,-0.89672,4646.3
3361,-0.90076,4660.1
3368.6,-0.90478,4673.9
3376.3,-0.90878,4687.6
3383.8,-0.91278,4701.3
3391.4,-0.91676,4715
3398.9,-0.92074,4728.6
3406.3,-0.9247,4742.1
3413.7,-0.92866,4755.7
3421,-0.9326,4769.2
3428.3,-0.93653,4782.6
3435.6,-0.94045,4796
3442.8,-0.94435,4809.4
3449.9,-0.94825,4822.7
3457.1,-0.95213,4836
3464.1,-0.956,4849.2
3471.2,-0.95987,4862.4
3478.1,-0.96372,4875.6
3485.1,-0.96756,4888.7
3492,-0.97139,4901.8
3498.8,-0.9752,4914.9
3505.6,-0.979,4927.9
3512.4,-0.98278,4940.8
3519.1,-0.98654,4953.8
3525.8,-0.99029,4966.7
3532.4,-0.99403,4979.6
3539,-0.99777,4992.4
3545.6,-1.0015,5005.2
3552.1,-1.0052,5017.9
3558.5,-1.0089,5030.7
3565,-1.0126,5043.4
3571.4,-1.0163,5056
3577.7,-1.0199,5068.6
3584,-1.0236,5081.2
3590.3,-1.0272,5093.8
3596.5,-1.0308,5106.3
3602.7,-1.0344,5118.8
3608.8,-1.038,5131.2
3614.9,-1.0416,5143.6
3621,-1.0452,5156
3627,-1.0487,5168.4
3633,-1.0522,5180.7
3638.9,-1.0557,5193
3644.8,-1.0592,5205.3
3650.7,-1.0627,5217.5
3656.5,-1.0662,5229.7
3662.3,-1.0697,5241.9
3668,-1.0731,5254
3673.7,-1.0766,5266.1
3679.4,-1.08,5278.2
3685,-1.0834,5290.2
3690.6,-1.0868,5302.2
3696.2,-1.0902,5314.2
