z,x,y
2897.6,-186.37,3600.7
2909.8,-187.22,3617.9
2921.8,-188.06,3635.1
2933.8,-188.9,3652.1
2945.7,-189.73,3669.1
2957.6,-190.56,3686.1
2969.4,-191.38,3703
2981.1,-192.2,3719.8
2992.7,-193.01,3736.5
3004.3,-193.82,3753.2
3015.7,-194.63,3769.8
3027.2,-195.42,3786.3
3038.5,-196.22,3802.8
3049.8,-197.01,3819.2
3061,-197.79,3835.5
3072.2,-198.57,3851.8
3083.3,-199.35,3868
3094.3,-200.12,3884.2
3105.3,-200.89,3900.3
3116.1,-201.65,3916.4
3127,-202.41,3932.3
3137.7,-203.16,3948.3
3148.4,-203.91,3964.1
3159.1,-204.66,3979.9
3169.6,-205.4,3995.7
3180.1,-206.14,4011.4
3190.6,-206.87,4027
3201,-207.6,4042.6
3211.3,-208.32,4058.1
3221.6,-209.04,4073.6
3231.8,-209.76,4089
3241.9,-210.47,4104.4
3252,-211.18,4119.7
3262,-211.89,4134.9
3272,-212.59,4150.1
3281.9,-213.29,4165.3
3291.7,-213.98,4180.4
3301.5,-214.67,4195.4
3311.2,-215.35,4210.4
3320.9,-216.04,4225.4
3330.5,-216.71,4240.3
3340.1,-217.39,4255.1
3349.6,-218.06,4269.9
3359,-218.73,4284.6
3368.4,-219.39,4299.3
3377.7,-220.05,4314
3387,-220.71,4328.6
3396.2,-221.36,4343.1
3405.4,-222.01,4357.6
3414.5,-222.66,4372.1
3423.6,-223.3,4386.5
3432.6,-223.94,4400.9
3441.5,-224.58,4415.2
3450.4,-225.21,4429.5
3459.3,-225.84,4443.7
3468.1,-226.47,4457.9
3476.8,-227.09,4472
3485.5,-227.71,4486.1
3494.2,-228.33,4500.2
3502.8,-228.94,4514.2
3511.3,-229.55,4528.1
3519.8,-230.16,4542.1
3528.2,-230.76,4556
3536.6,-231.36,4569.8
3545,-231.96,4583.6
3553.3,-232.55,4597.3
3561.5,-233.15,4611.1
3569.7,-233.74,4624.7
3577.9,-234.32,4638.4
3586,-234.91,4652
3594,-235.49,4665.5
3602,-236.06,4679
3610,-236.64,4692.5
3617.9,-237.21,4706
3625.7,-237.78,4719.4
3633.5,-238.34,4732.7
3641.3,-238.91,4746
3649,-239.47,4759.3
3656.7,-240.03,4772.6
3664.3,-240.58,4785.8
3671.9,-241.13,4799
3679.5,-241.68,4812.1
3687,-242.23,4825.2
3694.4,-242.77,4838.3
3701.8,-243.32,4851.3
3709.2,-243.86,4864.3
3716.5,-244.39,4877.3
3723.8,-244.93,4890.2
3731,-245.46,4903.1
3738.2,-245.99,4916
3745.3,-246.51,4928.8
3752.4,-247.04,4941.6
3759.5,-247.56,4954.3
3766.5,-248.08,4967.1
3773.4,-248.6,4979.8
3780.4,-249.11,4992.4
3787.3,-249.62,5005
3794.1,-250.13,5017.6
3800.9,-250.64,5030.2
3807.7,-251.14,5042.7
3814.4,-251.65,5055.2
3821.1,-252.15,5067.7
3827.7,-252.64,5080.1
3834.3,-253.14,5092.5
3840.8,-253.63,5104.9
3847.4,-254.13,5117.3
3853.8,-254.61,5129.6
3860.3,-255.1,5141.9
3866.7,-255.59,5154.1
3873,-256.07,5166.4
3879.3,-256.55,5178.6
3885.6,-257.03,5190.7
