# PML Intruder 38mm J530-15 (Up to date)
# 1217 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.0001901,0.038226,-0.0000169,-0.0000106,47.182778,17.988611
0.02,0.0066936,1.3462875,0.0005966,0.0003728,47.182778,17.988611
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.0336013,4.0656596,0.002995,0.0018715,47.182778,17.988611
0.04,0.0880199,6.8787628,0.0078455,0.0049024,47.182778,17.9886111
0.05,0.170882,9.7856943,0.0152313,0.0095176,47.1827781,17.9886112
0.06,0.2831214,12.7865606,0.0252356,0.0157689,47.1827781,17.9886113
0.07,0.4254751,15.8418063,0.0379241,0.0236976,47.1827782,17.9886115
0.08,0.598287,18.9117173,0.0533274,0.0333226,47.1827783,17.9886117
0.09,0.8017025,21.9962328,0.0714585,0.0446522,47.1827784,17.9886119
0.1,1.0358665,25.0953054,0.0923304,0.0576944,47.1827785,17.9886122
0.11,1.3008588,28.1958015,0.11595,0.0724536,47.1827787,17.9886125
0.12,1.5966278,31.2845435,0.1423129,0.088927,47.1827788,17.9886129
0.13,1.9230561,34.3614291,0.1714086,0.107108,47.182779,17.9886133
0.14,2.2800252,37.4263452,0.2032265,0.12699,47.1827791,17.9886137
0.15,2.6674156,40.4791638,0.2377559,0.1485664,47.1827793,17.9886141
0.16,3.0851058,43.5196732,0.2749861,0.1718304,47.1827795,17.9886146
0.17,3.5329727,46.5477168,0.314906,0.1967751,47.1827798,17.9886152
0.18,4.0108916,49.5631468,0.3575046,0.2233937,47.18278,17.9886157
0.19,4.5187361,52.5658136,0.4027705,0.251679,47.1827803,17.9886163
0.2,5.0563788,55.5555663,0.4506925,0.2816239,47.1827805,17.988617
0.21,5.6237127,58.536716,0.5012609,0.3132226,47.1827808,17.9886176
# Event LAUNCHROD occurred at t=0.22 seconds
0.22,6.2206737,61.5135938,0.5544701,0.3464714,47.1827811,17.9886183
0.2346587,7.1491614,65.8699518,0.637951,0.3976148,47.1827816,17.9886194
0.2477297,8.0305344,69.7461274,0.7183718,0.4452306,47.182782,17.9886205
0.2597609,8.8862393,73.3072664,0.7973395,0.4907579,47.1827824,17.9886216
0.2710924,9.7310685,76.6552711,0.875981,0.5351824,47.1827828,17.9886226
0.2819824,10.5784716,79.8671541,0.9553685,0.5793674,47.1827832,17.9886236
0.2926483,11.4421025,83.0073579,1.0366309,0.6241621,47.1827836,17.9886247
0.3032968,12.3374986,86.1366607,1.1210872,0.6705106,47.182784,17.9886258
0.3140916,13.2789766,89.3027467,1.2099355,0.7193077,47.1827845,17.988627
0.3251495,14.2785901,92.539103,1.3041308,0.7713668,47.1827849,17.9886283
0.3368183,15.3719748,95.9462188,1.4067709,0.8288181,47.1827855,17.9886296
0.3497447,16.6293146,99.710183,1.5239909,0.8958342,47.1827861,17.9886312
0.3654097,18.2178076,104.2554781,1.6703245,0.9824566,47.1827868,17.9886331
0.3889073,20.7330476,111.0359751,1.8965056,1.1255626,47.1827881,17.9886361
0.4241537,24.8018234,121.1100675,2.2435381,1.3769578,47.1827904,17.9886407
0.4326912,25.8404494,123.5305075,2.3278406,1.4456246,47.182791,17.9886418
0.4400717,26.7548918,125.6183846,2.4005349,1.5076832,47.1827916,17.9886428
0.4467335,27.5934381,127.4986709,2.465927,1.5659218,47.1827921,17.9886436
0.4529158,28.382772,129.2401493,2.5263723,1.6219067,47.1827926,17.9886444
0.4587507,29.1375638,130.8808393,2.583173,1.6764919,47.1827931,17.9886452
0.4643296,29.8681346,132.4470334,2.6372312,1.7302933,47.1827936,17.9886459
0.4697202,30.5822923,133.9581749,2.6892149,1.7837923,47.182794,17.9886466
0.4749723,31.2858834,135.4285601,2.7396153,1.837359,47.1827945,17.9886473
0.4801273,31.9839148,136.8700205,2.7888392,1.8913255,47.182795,17.9886479
0.4852187,32.6805906,138.2921795,2.8372175,1.9459821,47.1827955,17.9886485
0.4902855,33.3810188,139.7060259,2.8851268,2.001708,47.182796,17.9886492
0.4953765,34.091963,141.1253451,2.9330369,2.0590358,47.1827965,17.9886498
0.5005402,34.8203825,142.5637054,2.9814076,2.1185387,47.1827971,17.9886504
0.5058465,35.576587,144.0406472,3.0308961,2.1810909,47.1827976,17.9886511
0.5114381,36.3818647,145.5958953,3.0828339,2.248523,47.1827982,17.9886518
0.5174581,37.2584815,147.2690802,3.1385479,2.3228221,47.1827989,17.9886525
0.5241559,38.2455483,149.1292001,3.2003482,2.4075001,47.1827997,17.9886533
0.5320206,39.420338,151.3113151,3.2727657,2.5095329,47.1828006,17.9886543
0.542411,40.9984958,154.1904806,3.3684245,2.6484135,47.1828018,17.9886556
0.5579966,43.4213229,158.4995275,3.5126073,2.8647074,47.1828038,17.9886575
