z,x,y
4993.4,610.14,219.4
5012.8,612.73,220.29
5032.2,615.32,221.18
5051.4,617.9,222.06
5070.6,620.48,222.94
5089.6,623.04,223.82
5108.6,625.6,224.69
5127.5,628.15,225.56
5146.4,630.69,226.42
5165.1,633.23,227.28
5183.8,635.75,228.14
5202.4,638.27,228.99
5220.9,640.79,229.84
5239.4,643.29,230.69
5257.7,645.79,231.53
5276,648.28,232.37
5294.2,650.76,233.21
5312.4,653.24,234.04
5330.4,655.71,234.87
5348.4,658.17,235.69
5366.3,660.62,236.51
5384.2,663.07,237.33
5401.9,665.51,238.14
5419.6,667.95,238.96
5437.2,670.38,239.76
5454.8,672.8,240.57
5472.3,675.21,241.37
5489.7,677.62,242.17
5507,680.03,242.96
5524.3,682.42,243.76
5541.5,684.81,244.54
5558.6,687.19,245.33
5575.7,689.57,246.11
5592.7,691.94,246.89
5609.6,694.31,247.67
5626.4,696.66,248.44
5643.2,699.02,249.21
5660,701.36,249.98
5676.6,703.7,250.74
5693.2,706.04,251.51
5709.7,708.36,252.26
5726.2,710.69,253.02
5742.6,713,253.77
5758.9,715.32,254.52
5775.2,717.62,255.27
5791.4,719.92,256.01
5807.5,722.21,256.76
5823.6,724.5,257.5
5839.6,726.79,258.23
5855.6,729.06,258.96
5871.5,731.34,259.7
5887.3,733.6,260.42
5903.1,735.86,261.15
5918.8,738.12,261.87
5934.4,740.37,262.59
5950,742.62,263.31
5965.6,744.86,264.03
5981,747.09,264.74
5996.4,749.32,265.45
6011.8,751.55,266.16
6027.1,753.77,266.86
6042.3,755.98,267.56
6057.5,758.2,268.26
6072.6,760.4,268.96
6087.7,762.6,269.66
6102.7,764.8,270.35
6117.6,766.99,271.04
6132.5,769.18,271.73
6147.4,771.36,272.42
6162.2,773.53,273.1
6176.9,775.71,273.78
6191.6,777.87,274.46
6206.2,780.04,275.14
6220.8,782.2,275.81
6235.3,784.35,276.49
6249.7,786.5,277.16
6264.1,788.65,277.82
6278.5,790.79,278.49
6292.8,792.93,279.16
6307,795.06,279.82
6321.2,797.19,280.48
6335.4,799.31,281.13
6349.5,801.43,281.79
6363.5,803.55,282.44
6377.5,805.66,283.1
6391.4,807.76,283.74
6405.3,809.87,284.39
6419.1,811.97,285.04
6432.9,814.06,285.68
6446.7,816.15,286.32
6460.3,818.24,286.96
6474,820.32,287.6
6487.6,822.4,288.24
6501.1,824.48,288.87
6514.6,826.55,289.5
6528,828.62,290.13
6541.4,830.68,290.76
6554.8,832.74,291.39
6568.1,834.8,292.01
6581.3,836.86,292.63
6594.5,838.91,293.25
6607.7,840.95,293.87
6620.8,842.99,294.49
6633.8,845.03,295.11
6646.9,847.07,295.72
6659.8,849.1,296.33
6672.7,851.13,296.94
6685.6,853.16,297.55
6698.5,855.18,298.16
6711.2,857.2,298.77
6724,859.21,299.37
6736.7,861.22,299.97
6749.3,863.23,300.57
6761.9,865.24,301.17
6774.5,867.24,301.77
6787,869.24,302.37
6799.5,871.23,302.96
6811.9,873.23,303.55
6824.3,875.22,304.15
6836.7,877.2,304.74
6849,879.19,305.32
6861.2,881.17,305.91
6873.5,883.14,306.5
6885.6,885.12,307.08
6897.8,887.09,307.66
6909.8,889.06,308.24
6921.9,891.02,308.82
6933.9,892.99,309.4
6945.9,894.94,309.98
6957.8,896.9,310.55
6969.7,898.86,311.13
6981.5,900.81,311.7
6993.3,902.75,312.27
7005.1,904.7,312.84
7016.8,906.64,313.41
7028.5,908.58,313.97
7040.1,910.52,314.54
7051.7,912.45,315.1
7063.2,914.38,315.67
7074.8,916.31,316.23
7086.2,918.24,316.79
7097.7,920.16,317.35
7109.1,922.08,317.9
7120.4,924,318.46
7131.7,925.92,319.02
7143,927.83,319.57
7154.3,929.74,320.12
7165.5,931.65,320.67
7176.6,933.55,321.22
7187.7,935.46,321.77
7198.8,937.36,322.32
7209.9,939.26,322.87
7220.9,941.15,323.41
7231.8,943.04,323.96
7242.8,944.93,324.5
7253.7,946.82,325.04
7264.5,948.71,325.58
7275.3,950.59,326.12
7286.1,952.47,326.66
7296.9,954.35,327.2
7307.6,956.23,327.73
7318.2,958.1,328.27
7328.9,959.97,328.8
7339.5,961.84,329.33
7350,963.71,329.86
7360.5,965.57,330.39
7371,967.44,330.92
7381.5,969.3,331.45
7391.9,971.16,331.98
7402.2,973.01,332.5
7412.6,974.87,333.03
7422.9,976.72,333.55
7433.1,978.57,334.07
7443.4,980.41,334.6
7453.6,982.26,335.12
7463.7,984.1,335.64
7473.8,985.94,336.15
7483.9,987.78,336.67
7494,989.62,337.19
7504,991.45,337.7
7514,993.29,338.22
7523.9,995.12,338.73
7533.8,996.95,339.24
7543.7,998.77,339.75
7553.5,1000.6,340.26
7563.3,1002.4,340.77
7573.1,1004.2,341.28
7582.8,1006.1,341.79
7592.5,1007.9,342.3
7602.2,1009.7,342.8
7611.8,1011.5,343.31
7621.4,1013.3,343.81
7631,1015.1,344.31
7640.5,1016.9,344.82
7650,1018.7,345.32
7659.5,1020.5,345.82
7668.9,1022.3,346.32
7678.3,1024.1,346.81
7687.7,1025.9,347.31
7697,1027.7,347.81
7706.3,1029.5,348.3
7715.5,1031.3,348.8
7724.8,1033.1,349.29
7734,1034.9,349.78
7743.1,1036.7,350.28
7752.2,1038.5,350.77
7761.3,1040.3,351.26
7770.4,1042,351.75
7779.4,1043.8,352.24
7788.4,1045.6,352.72
7797.4,1047.4,353.21
7806.3,1049.1,353.7
7815.2,1050.9,354.18
7824.1,1052.7,354.67
7832.9,1054.5,355.15
7841.7,1056.2,355.63
7850.5,1058,356.11
7859.2,1059.8,356.6
7867.9,1061.5,357.08
7876.6,1063.3,357.56
7885.2,1065,358.03
7893.8,1066.8,358.51
7902.4,1068.6,358.99
7910.9,1070.3,359.47
7919.4,1072.1,359.94
7927.9,1073.8,360.42
7936.4,1075.6,360.89
7944.8,1077.3,361.37
7953.2,1079.1,361.84
7961.5,1080.8,362.31
7969.8,1082.6,362.78
7978.1,1084.3,363.25
7986.4,1086,363.72
7994.6,1087.8,364.19
8002.8,1089.5,364.66
8011,1091.3,365.13
8019.1,1093,365.59
8027.2,1094.7,366.06
8035.3,1096.5,366.52
8043.3,1098.2,366.99
