# Altitude (m),Position East of launch (m),Position North of launch (m)
3026.6,193.9,3785.9
3038,194.68,3802.4
3049.3,195.46,3818.8
3060.5,196.23,3835.2
3071.6,197,3851.4
3082.7,197.77,3867.7
3093.7,198.53,3883.8
3104.7,199.29,3900
3115.6,200.04,3916
3126.4,200.79,3932
3137.2,201.53,3947.9
3147.9,202.27,3963.8
3158.5,203.01,3979.6
3169.1,203.74,3995.4
3179.6,204.46,4011
3190,205.19,4026.7
3200.4,205.9,4042.3
3210.7,206.62,4057.8
3221,207.33,4073.3
3231.2,208.04,4088.7
3241.3,208.74,4104.1
3251.4,209.44,4119.4
3261.4,210.13,4134.6
3271.4,210.82,4149.8
3281.3,211.51,4165
3291.2,212.19,4180.1
3300.9,212.87,4195.1
3310.7,213.55,4210.1
3320.3,214.22,4225.1
3330,214.89,4240
3339.5,215.55,4254.8
3349,216.21,4269.6
3358.5,216.87,4284.4
3367.8,217.52,4299.1
3377.2,218.17,4313.7
3386.5,218.82,4328.3
3395.7,219.46,4342.9
3404.9,220.1,4357.4
3414,220.74,4371.8
3423,221.37,4386.2
3432,222,4400.6
3441,222.63,4414.9
3449.9,223.25,4429.2
3458.7,223.87,4443.4
3467.5,224.49,4457.6
3476.3,225.1,4471.8
3485,225.71,4485.9
3493.6,226.32,4499.9
3502.2,226.92,4513.9
3510.8,227.52,4527.9
3519.3,228.12,4541.8
3527.7,228.71,4555.7
3536.1,229.31,4569.6
3544.4,229.89,4583.4
3552.7,230.48,4597.1
3561,231.06,4610.8
3569.2,231.64,4624.5
3577.3,232.22,4638.2
3585.4,232.79,4651.8
3593.5,233.36,4665.3
3601.5,233.93,4678.8
3609.4,234.49,4692.3
3617.3,235.06,4705.8
3625.2,235.61,4719.2
3633,236.17,4732.5
3640.8,236.73,4745.9
3648.5,237.28,4759.1
3656.2,237.82,4772.4
3663.8,238.37,4785.6
3671.4,238.91,4798.8
3678.9,239.45,4811.9
3686.4,239.99,4825
3693.9,240.53,4838.1
3701.3,241.06,4851.1
3708.6,241.59,4864.1
3715.9,242.12,4877.1
3723.2,242.64,4890
3730.4,243.16,4902.9
3737.6,243.68,4915.8
3744.8,244.2,4928.6
3751.9,244.72,4941.4
3758.9,245.23,4954.2
3765.9,245.74,4966.9
3772.9,246.25,4979.6
3779.8,246.75,4992.3
3786.7,247.25,5004.9
3793.5,247.75,5017.5
3800.3,248.25,5030.1
3807.1,248.75,5042.6
3813.8,249.24,5055.1
3820.5,249.73,5067.6
3827.1,250.22,5080
3833.7,250.71,5092.4
3840.3,251.19,5104.8
3846.8,251.68,5117.1
3853.3,252.16,5129.5
3859.7,252.63,5141.8
3866.1,253.11,5154
3872.5,253.58,5166.2
3878.8,254.06,5178.5
3885,254.53,5190.6
3891.3,254.99,5202.8
3897.5,255.46,5214.9
3903.6,255.92,5227
3909.8,256.39,5239
3915.8,256.84,5251.1
3921.9,257.3,5263.1
3927.9,257.76,5275.1
3933.9,258.21,5287
3939.8,258.66,5298.9
3945.7,259.11,5310.8
3951.5,259.56,5322.7
3957.4,260.01,5334.6
3963.1,260.45,5346.4
3968.9,260.89,5358.2
3974.6,261.33,5369.9
3980.3,261.77,5381.7
3985.9,262.21,5393.4
3991.5,262.64,5405.1
3997,263.08,5416.8
4002.6,263.51,5428.4
4008.1,263.94,5440
4013.5,264.36,5451.6
4018.9,264.79,5463.2
4024.3,265.21,5474.7
4029.6,265.64,5486.3
4035,266.06,5497.8
4040.2,266.48,5509.2
4045.5,266.89,5520.7
4050.7,267.31,5532.1
4055.8,267.72,5543.5
4061,268.13,5554.9
4066.1,268.55,5566.2
4071.1,268.95,5577.6
4076.2,269.36,5588.9
4081.2,269.77,5600.2
4086.1,270.17,5611.4
4091,270.57,5622.7
4095.9,270.97,5633.9
4100.8,271.37,5645.1
4105.6,271.77,5656.3
4110.4,272.17,5667.5
4115.2,272.56,5678.6
4119.9,272.95,5689.7
4124.6,273.34,5700.8
4129.2,273.73,5711.9
4133.9,274.12,5722.9
4138.5,274.51,5733.9
4143,274.89,5744.9
4147.5,275.28,5755.9
4152,275.66,5766.9
4156.5,276.04,5777.8
4160.9,276.42,5788.8
4165.3,276.8,5799.7
4169.7,277.17,5810.6
4174,277.55,5821.4
4178.3,277.92,5832.3
4182.5,278.29,5843.1
4186.8,278.66,5853.9
4191,279.03,5864.7
4195.1,279.4,5875.5
4199.3,279.77,5886.2
