# Altitude (m),Position East of launch (m),Position North of launch (m)
2141.2,354.58,10465
2132.7,354.51,10470
2124.2,354.44,10474
2115.7,354.37,10479
2107.1,354.3,10483
2098.6,354.22,10488
2090.1,354.15,10492
2081.5,354.08,10496
2072.9,354.01,10501
2064.4,353.93,10505
2055.8,353.86,10510
2047.2,353.78,10514
2038.6,353.71,10518
2030,353.63,10523
2021.4,353.55,10527
2012.8,353.48,10532
2004.1,353.4,10536
1995.5,353.32,10540
1986.8,353.24,10545
1978.2,353.16,10549
1969.5,353.08,10553
1960.8,353,10558
1952.2,352.92,10562
1943.5,352.84,10566
1934.8,352.76,10571
1926.1,352.67,10575
1917.3,352.59,10579
1908.6,352.51,10583
1899.9,352.42,10588
1891.1,352.34,10592
1882.4,352.25,10596
1873.6,352.17,10600
1864.9,352.08,10605
1856.1,351.99,10609
1847.3,351.91,10613
1838.5,351.82,10617
1829.7,351.73,10621
1820.9,351.64,10626
1812.1,351.55,10630
1803.3,351.46,10634
1794.4,351.37,10638
1785.6,351.28,10642
1776.7,351.19,10646
1767.9,351.09,10651
1759,351,10655
1750.2,350.91,10659
1741.3,350.81,10663
1732.4,350.72,10667
1723.5,350.62,10671
1714.6,350.53,10675
1705.7,350.43,10679
1696.8,350.33,10684
1687.8,350.24,10688
1678.9,350.14,10692
1670,350.04,10696
1661,349.94,10700
1652.1,349.84,10704
1643.1,349.74,10708
1634.1,349.64,10712
1625.2,349.54,10716
1616.2,349.44,10720
1607.2,349.34,10724
1598.2,349.23,10728
1589.2,349.13,10732
1580.2,349.03,10736
1571.2,348.92,10740
1562.2,348.82,10744
1553.1,348.71,10748
1544.1,348.61,10752
1535,348.5,10756
1526,348.39,10760
1516.9,348.29,10764
1507.9,348.18,10767
1498.8,348.07,10771
1489.7,347.96,10775
1480.6,347.85,10779
1471.5,347.74,10783
1462.4,347.63,10787
1453.3,347.52,10791
1444.2,347.41,10795
1435.1,347.3,10799
1426,347.18,10802
1416.9,347.07,10806
1407.7,346.96,10810
1398.6,346.84,10814
1389.4,346.73,10818
1380.3,346.61,10822
1371.1,346.49,10825
1361.9,346.38,10829
1352.8,346.26,10833
1343.6,346.14,10837
1334.4,346.03,10841
1325.2,345.91,10844
1316,345.79,10848
1306.8,345.67,10852
1297.6,345.55,10856
1288.4,345.43,10859
1279.1,345.31,10863
1269.9,345.18,10867
1260.7,345.06,10870
1251.4,344.94,10874
1242.2,344.82,10878
1233,344.69,10882
1223.7,344.57,10885
1214.4,344.44,10889
1205.2,344.32,10893
1195.9,344.19,10896
1186.6,344.06,10900
1177.3,343.94,10904
1168,343.81,10907
1158.7,343.68,10911
1149.4,343.55,10914
1140.1,343.42,10918
1130.8,343.29,10922
1121.5,343.16,10925
1112.2,343.03,10929
1102.9,342.9,10932
1093.5,342.77,10936
1084.2,342.64,10940
1074.8,342.51,10943
1065.5,342.37,10947
1056.1,342.24,10950
1046.8,342.11,10954
1037.4,341.97,10957
1028.1,341.84,10961
1018.7,341.7,10964
1009.3,341.56,10968
999.92,341.43,10971
990.53,341.29,10975
981.14,341.15,10978
971.74,341.01,10982
962.34,340.87,10985
952.94,340.73,10989
943.52,340.59,10992
934.11,340.45,10996
924.69,340.31,10999
915.26,340.17,11003
905.83,340.03,11006
896.4,339.89,11010
886.96,339.74,11013
877.52,339.6,11016
868.07,339.46,11020
858.62,339.31,11023
849.16,339.17,11027
839.7,339.02,11030
830.24,338.88,11033
820.77,338.73,11037
811.29,338.58,11040
801.81,338.44,11043
792.33,338.29,11047
782.85,338.14,11050
773.36,337.99,11053
763.86,337.84,11057
754.36,337.69,11060
744.86,337.54,11063
735.35,337.39,11067
725.84,337.24,11070
716.33,337.09,11073
706.81,336.93,11077
697.29,336.78,11080
687.76,336.63,11083
678.23,336.47,11086
668.7,336.32,11090
659.16,336.16,11093
649.62,336.01,11096
640.08,335.85,11099
630.53,335.7,11103
620.98,335.54,11106
611.42,335.38,11109
601.86,335.22,11112
592.3,335.06,11115
582.73,334.91,11119
573.16,334.75,11122
563.59,334.59,11125
554.01,334.43,11128
544.43,334.26,11131
534.85,334.1,11134
525.26,333.94,11138
515.67,333.78,11141
506.08,333.62,11144
496.48,333.45,11147
486.88,333.29,11150
477.28,333.12,11153
467.68,332.96,11156
458.07,332.79,11159
448.45,332.63,11163
438.84,332.46,11166
429.22,332.3,11169
419.6,332.13,11172
409.97,331.96,11175
400.35,331.79,11178
390.71,331.62,11181
381.08,331.45,11184
371.45,331.28,11187
361.81,331.11,11190
352.16,330.94,11193
342.52,330.77,11196
332.87,330.6,11199
323.22,330.43,11202
313.57,330.26,11205
303.91,330.08,11208
294.25,329.91,11211
284.59,329.74,11214
274.93,329.56,11217
265.26,329.39,11220
255.59,329.21,11223
245.92,329.04,11226
236.25,328.86,11229
226.57,328.68,11232
216.89,328.5,11235
207.21,328.33,11238
197.53,328.15,11241
187.84,327.97,11244
178.16,327.79,11246
168.46,327.61,11249
158.77,327.43,11252
149.08,327.25,11255
139.38,327.07,11258
129.68,326.89,11261
119.98,326.71,11264
110.27,326.52,11267
100.57,326.34,11269
90.86,326.16,11272
81.149,325.97,11275
71.437,325.79,11278
61.723,325.6,11281
52.006,325.42,11284
42.288,325.23,11286
32.568,325.05,11289
22.845,324.86,11292
13.121,324.67,11295
3.3951,324.49,11298
