# PML Intruder 38mm J270-11 SW (Up to date)
# 904 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.0021388,0.4301398,0.0001906,0.0001191,47.182778,17.988611
0.02,0.0102918,1.2095224,0.0009173,0.0005732,47.182778,17.988611
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.026344,2.018684,0.0023481,0.0014673,47.182778,17.988611
0.04,0.0509375,2.9272082,0.0045402,0.0028371,47.182778,17.9886111
0.05,0.0850715,3.937311,0.0075827,0.0047382,47.182778,17.9886111
0.06,0.1297568,5.0490887,0.0115657,0.007227,47.1827781,17.9886112
0.07,0.1858156,6.2245551,0.0165624,0.0103493,47.1827781,17.9886112
0.08,0.2536055,7.4082426,0.0226047,0.014125,47.1827781,17.9886113
0.09,0.3332059,8.5996529,0.0296998,0.0185585,47.1827782,17.9886114
0.1,0.4246934,9.7987571,0.0378544,0.023654,47.1827782,17.9886115
0.11,0.5281444,11.0055241,0.0470753,0.0294159,47.1827783,17.9886116
0.12,0.6436293,12.2188017,0.0573689,0.0358481,47.1827783,17.9886118
0.13,0.7711899,13.4339482,0.0687388,0.0429528,47.1827784,17.9886119
0.14,0.9108421,14.6504355,0.0811865,0.050731,47.1827785,17.9886121
0.15,1.062599,15.8682372,0.0947131,0.0591833,47.1827785,17.9886123
0.16,1.2264737,17.087331,0.1093198,0.0683106,47.1827786,17.9886124
0.17,1.4024789,18.3076958,0.1250078,0.0781135,47.1827787,17.9886127
0.18,1.5906271,19.5293097,0.1417781,0.0885928,47.1827788,17.9886129
0.19,1.7909307,20.7521521,0.1596318,0.099749,47.1827789,17.9886131
0.2,2.0034017,21.9762029,0.1785701,0.111583,47.182779,17.9886134
0.21,2.2280521,23.2014428,0.198594,0.1240953,47.1827791,17.9886136
0.22,2.4648937,24.4278569,0.2197045,0.1372866,47.1827792,17.9886139
0.23,2.7139379,25.6554296,0.2419026,0.1511575,47.1827794,17.9886142
0.24,2.9751943,26.8837271,0.2651893,0.1657087,47.1827795,17.9886145
0.25,3.2486684,28.1124489,0.289565,0.1809403,47.1827796,17.9886148
0.26,3.5343646,29.3415797,0.3150301,0.1968527,47.1827798,17.9886152
0.27,3.8322866,30.571103,0.3415849,0.2134459,47.1827799,17.9886155
0.28,4.1424384,31.801008,0.3692298,0.2307204,47.1827801,17.9886159
0.29,4.4648238,33.031283,0.3979651,0.2486762,47.1827802,17.9886163
0.3,4.7994463,34.2619152,0.4277912,0.2673136,47.1827804,17.9886167
0.31,5.1463094,35.4928899,0.4587083,0.2866328,47.1827806,17.9886171
0.32,5.5054201,36.7249054,0.4907171,0.3066341,47.1827808,17.9886175
0.33,5.8767937,37.9589889,0.5238189,0.3273184,47.1827809,17.9886179
# Event LAUNCHROD occurred at t=0.34 seconds
0.34,6.2604507,39.1951353,0.5580156,0.3486868,47.1827811,17.9886184
0.355,6.8589132,41.0533148,0.6120747,0.3826991,47.1827814,17.9886191
0.3775,7.8082894,43.849918,0.7004742,0.4391658,47.1827819,17.9886203
0.3999055,8.8154993,46.6451318,0.7972178,0.5018868,47.1827825,17.9886215
0.4194615,9.745199,49.0913364,0.8886701,0.5618268,47.1827831,17.9886228
0.437368,10.6379653,51.3363078,0.9779447,0.6207597,47.1827836,17.9886239
0.4543906,11.5235527,53.4747526,1.0674885,0.6801383,47.1827841,17.9886251
0.4710892,12.4273202,55.5762189,1.159488,0.7412932,47.1827847,17.9886263
0.4880765,13.3824506,57.7173247,1.2569776,0.8061268,47.1827852,17.9886276
0.5061342,14.4374022,59.9960236,1.3644868,0.8775052,47.1827859,17.9886291
0.5260802,15.6503055,62.5154118,1.4873104,0.9587164,47.1827866,17.9886307
