# PML Intruder 38mm J270-11 (Up to date)
# 1029 data points written for 7 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter:  "Nose cone, Payload section"
#
# Time (s),Altitude (m),Total velocity (m/s),Position East of launch (m),Position North of launch (m),Latitude (°),Longitude (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.7861084,36.0242112,95.016868,3.1283292,2.2294747,47.1827981,17.9886524
0.796238,36.9870505,96.2930656,3.1795027,2.325248,47.1827989,17.9886531
0.8078796,38.1093901,97.764379,3.2372622,2.4390257,47.1827999,17.9886538
0.8222338,39.5165506,99.5848832,3.307203,2.5845285,47.1828012,17.9886548
0.8437215,41.6713218,102.3195396,3.4100725,2.8123586,47.1828033,17.9886561
0.8759531,45.0124004,106.424556,3.5630688,3.1739434,47.1828065,17.9886581
0.8917909,46.7020805,108.4394661,3.6389435,3.3590904,47.1828082,17.9886592
0.9028116,47.8964867,109.8399135,3.6924099,3.4904277,47.1828094,17.9886599
0.9122088,48.9270187,111.0327008,3.738565,3.6039029,47.1828104,17.9886605
0.9207929,49.8781029,112.1210742,3.7812477,3.7086848,47.1828114,17.988661
0.9288761,50.7821606,113.1448135,3.8219348,3.8082891,47.1828122,17.9886616
0.9366475,51.6590787,114.1279886,3.8615294,3.9048782,47.1828131,17.9886621
0.9442329,52.5223256,115.0866069,3.9006413,3.9999209,47.182814,17.9886626
0.9517507,53.3850047,116.0356652,3.9398622,4.0948542,47.1828148,17.9886631
0.9592792,54.2559999,116.985029,3.9795916,4.1906561,47.1828157,17.9886637
0.9669044,55.1454079,117.9455024,4.0202828,4.2884429,47.1828166,17.9886642
0.9747564,56.0688713,118.9333821,4.06264,4.3899481,47.1828175,17.9886648
0.9830127,57.0481776,119.9707957,4.1076433,4.4975921,47.1828184,17.9886654
0.9919627,58.1193586,121.0939613,4.1569142,4.6153837,47.1828195,17.988666
1.0020919,59.3436911,122.3632833,4.2131987,4.7501604,47.1828207,17.9886667
1.014434,60.8527158,123.9070093,4.2823627,4.9166398,47.1828222,17.9886677
1.0316287,62.9864575,126.0515491,4.3793694,5.1531034,47.1828243,17.9886689
1.0574208,66.2552738,129.2523127,4.5248955,5.5190334,47.1828276,17.9886709
1.078773,69.0228522,131.8846757,4.643807,5.8337212,47.1828305,17.9886724
1.0887675,70.3372831,133.1112362,4.698547,5.9851097,47.1828318,17.9886732
1.0971597,71.4502973,134.138652,4.7439347,6.1143694,47.182833,17.9886738
1.1047509,72.4643615,135.0662204,4.7844888,6.2330237,47.1828341,17.9886743
1.1118904,73.4244038,135.9372655,4.8221694,6.3461503,47.1828351,17.9886748
1.1187824,74.3569508,136.7770161,4.8581058,6.4567794,47.1828361,17.9886753
1.1255597,75.2795164,137.6014621,4.8930197,6.5669395,47.1828371,17.9886757
1.1323436,76.2084592,138.4254462,4.9275484,6.6785673,47.1828381,17.9886762
1.1392668,77.1621381,139.2652324,4.9623653,6.7938841,47.1828391,17.9886767
1.1464962,78.1640763,140.1411072,4.9982882,6.9157871,47.1828402,17.9886771
1.1542787,79.2496267,141.0829527,5.036499,7.048684,47.1828414,17.9886776
1.1628783,80.4575022,142.1224471,5.0782179,7.1974916,47.1828427,17.9886782
1.1728329,81.8666604,143.3242486,5.1259399,7.3722295,47.1828443,17.9886788
1.1857838,83.717568,144.885433,5.1873148,7.6033508,47.1828464,17.9886796
1.2052102,86.5312088,147.2214987,5.2785337,7.957398,47.1828496,17.9886808
1.2343498,90.8354659,150.7087527,5.4159568,8.5025028,47.1828545,17.9886827
1.2424352,92.0475848,151.6714659,5.4546892,8.6562468,47.1828558,17.9886832
1.2494698,93.1084316,152.5074062,5.4887083,8.790771,47.1828571,17.9886836
1.2559501,94.0908572,153.2759472,5.5203402,8.9152923,47.1828582,17.988684
1.2620776,95.0243231,154.0012503,5.5505246,9.0335374,47.1828592,17.9886844
1.268003,95.9312065,154.7013456,5.5799767,9.1483396,47.1828603,17.9886848
1.2738577,96.8313113,155.391824,5.6093331,9.2622074,47.1828613,17.9886852
1.279766,97.7437279,156.0873401,5.6392118,9.3775582,47.1828623,17.9886856
1.2858331,98.6848991,156.8001738,5.6701476,9.4964756,47.1828634,17.988686
1.292235,99.6826478,157.5507997,5.7030507,9.6224836,47.1828645,17.9886865
1.2991895,100.7719273,158.3643767,5.7390659,9.7600137,47.1828658,17.9886869
1.3071208,102.0210484,159.2897636,5.7804292,9.9177313,47.1828672,17.9886875
1.3171799,103.615689,160.4593423,5.8332085,10.1192055,47.182869,17.9886882
1.3322684,106.0293934,162.204571,5.9126553,10.4248261,47.1828718,17.9886892
1.3549012,109.6984084,164.8007278,6.0311061,10.8922269,47.182876,17.9886908
1.3649304,111.3426593,165.942218,6.0828321,11.1032629,47.1828779,17.9886915
1.3724908,112.5895813,166.79937,6.1213692,11.2640872,47.1828793,17.988692
1.3791383,113.6911604,167.5507624,6.1548822,11.4067694,47.1828806,17.9886924
1.3853033,114.7171603,168.2459028,6.1856307,11.5401902,47.1828818,17.9886928
1.3912369,115.7086094,168.9135448,6.2149116,11.6696092,47.1828829,17.9886932
1.3970913,116.6906225,169.5710735,6.2434971,11.7982723,47.1828841,17.9886936
1.4030148,117.6880343,170.235268,6.2721148,11.9294306,47.1828853,17.988694
1.4090334,118.7054176,170.909059,6.300885,12.0637008,47.1828865,17.9886944
1.4152158,119.7546292,171.6001989,6.3301258,12.2026711,47.1828877,17.9886948
1.4217786,120.872942,172.3328863,6.3608382,12.3513273,47.1828891,17.9886952
1.4290106,122.1107578,173.1392931,6.3943286,12.5164685,47.1828906,17.9886956
1.437551,123.5798733,174.0903585,6.4334689,12.7132067,47.1828923,17.9886961
1.4491158,125.5819279,175.3761105,6.4859387,12.9824076,47.1828948,17.9886968
1.466463,128.6123959,177.2996577,6.5641076,13.3916198,47.1828984,17.9886979
1.4849451,131.8772925,179.3401544,6.6477913,13.8336106,47.1829024,17.988699
1.492481,133.2192092,180.1688178,6.6822983,14.0153241,47.182904,17.9886994
1.4989484,134.3758117,180.8783599,6.7121621,14.1718908,47.1829055,17.9886998
1.5049268,135.4489833,181.5327821,6.7399935,14.317096,47.1829068,17.9887002
1.5107954,136.5062287,182.1737975,6.7675326,14.4600743,47.182908,17.9887005
1.5167356,137.5801762,182.8212056,6.7956254,14.60524,47.1829093,17.9887009
1.5229469,138.7072077,183.4965895,6.8252233,14.7575139,47.1829107,17.9887013
1.529675,139.9326981,184.2263161,6.8575179,14.923035,47.1829122,17.9887017
1.5374283,141.350944,185.0647697,6.8949894,15.1145633,47.1829139,17.9887022
1.5473898,143.1825459,186.1379733,6.9434277,15.361977,47.1829162,17.9887029
1.5623321,145.9496882,187.7387507,7.0163563,15.7362482,47.1829195,17.9887038
1.5847454,150.144362,190.118515,7.125254,16.3058161,47.1829246,17.9887053
1.5954373,152.1637381,191.2445527,7.1765859,16.5813678,47.1829271,17.988706
1.6038723,153.7651811,192.1298184,7.2166841,16.8006307,47.1829291,17.9887065
1.6117726,155.2717566,192.9572218,7.2538992,17.0075223,47.182931,17.988707
1.6198894,156.8262516,193.8057415,7.2917984,17.2216092,47.1829329,17.9887075
1.6288341,158.547145,194.7392326,7.3332074,17.4592995,47.182935,17.988708
1.6398526,160.678255,195.8870681,7.3837996,17.7545425,47.1829377,17.9887087
1.6563804,163.8981945,197.6046274,7.4591763,18.2021255,47.1829417,17.9887097
1.681172,168.7804546,200.1716472,7.5723319,18.8828482,47.1829478,17.9887112
1.6926102,171.0542551,201.3676311,7.6249948,19.2002679,47.1829507,17.9887119
1.7020632,172.9436613,202.3646619,7.6688447,19.4640904,47.182953,17.9887125
1.7113709,174.8131449,203.3438904,7.7123125,19.7251784,47.1829554,17.988713
1.7223511,177.030047,204.4867704,7.7638917,20.0349075,47.1829582,17.9887137
1.7387801,180.3700141,206.171647,7.8413835,20.5020613,47.1829624,17.9887148
1.7634236,185.4305027,208.6503227,7.9572207,21.212115,47.1829688,17.9887163
1.7787628,188.6106452,210.1900605,8.028539,21.6602492,47.1829728,17.9887172
1.7916183,191.2937141,211.4813256,8.0877219,22.0396111,47.1829762,17.988718
1.8056254,194.2356805,212.8857113,8.1516477,22.4568658,47.18298,17.9887189
1.8249817,198.332668,214.7960225,8.2393046,23.0398798,47.1829852,17.98872
1.8540162,204.5454086,217.5902258,8.3704315,23.9270423,47.1829932,17.9887218
1.8746332,209.0049851,219.520133,8.4640897,24.565196,47.1829989,17.988723
1.889596,212.2659707,220.9016532,8.5325449,25.032277,47.1830031,17.9887239
1.9075549,216.2067104,222.5416823,8.6151132,25.5973039,47.1830082,17.988725
1.9344932,222.1717355,224.9632257,8.7388999,26.4546283,47.1830159,17.9887266
1.9556801,226.9078424,226.8346729,8.8353824,27.1378921,47.1830221,17.9887279
1.9705554,230.2561994,228.1356087,8.9024614,27.6225195,47.1830264,17.9887288
1.9873387,234.0567818,229.5958407,8.977579,28.1740824,47.1830314,17.9887298
2.0125136,239.8026676,231.7716532,9.0898278,29.0102142,47.1830389,17.9887313
2.0414144,246.4652038,234.2466204,9.2194569,29.9815898,47.1830476,17.988733
2.0579853,250.3169915,235.6513445,9.2944283,30.5437268,47.1830527,17.988734
2.0776914,254.9271436,237.2888875,9.3840865,31.2171413,47.1830587,17.9887352
2.1072506,261.9008533,239.6648847,9.5188157,32.2377939,47.1830679,17.988737
2.1377198,269.1595532,241.988528,9.6567244,33.303975,47.1830775,17.9887388
2.1619797,274.9855918,243.5871235,9.7656775,34.1625985,47.1830852,17.9887402
2.1983695,283.7879554,245.500137,9.9293129,35.4626675,47.1830969,17.9887424
2.220236,289.105301,246.233066,10.0282361,36.2489326,47.183104,17.9887437
2.2530357,297.1028347,246.8055339,10.1767759,37.4331344,47.1831146,17.9887457
2.2806787,303.8493644,246.7497552,10.3010385,38.4344951,47.1831236,17.9887473
2.2964362,307.692668,246.5101632,10.3712914,39.0060543,47.1831288,17.9887482
2.3200724,313.4485379,245.9717374,10.4763534,39.8629732,47.1831365,17.9887496
2.3416822,318.6978009,245.2906718,10.5729915,40.6444366,47.1831435,17.9887509
2.3537284,321.6172215,244.8328874,10.627321,41.0787883,47.1831474,17.9887516
2.3678454,325.031186,244.2375848,10.6913587,41.5865002,47.183152,17.9887525
2.3890209,330.1355715,243.2504033,10.7877063,42.3455919,47.1831588,17.9887537
2.4156974,336.5342781,241.8469768,10.90854,43.2981525,47.1831674,17.9887553
